,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
December 2008,3046500.0,,
March 2009,3046500.0,,
June 2009,3046500.0,,
September 2009,3046500.0,,
December 2009,3058000.0,,
March 2010,3058000.0,,
June 2010,2968000.0,,
September 2010,2894000.0,186522000.0,84052000.0
December 2010,3035000.0,,
March 2011,3186000.0,,
June 2011,3410000.0,219647000.0,116526000.0
September 2011,3558000.0,260401000.0,128204000.0
December 2011,4379000.0,264941000.0,70735000.0
March 2012,4688000.0,268106000.0,74510000.0
June 2012,4754000.0,265688000.0,75318000.0
September 2012,4801000.0,266965000.0,78166000.0
December 2012,4838000.0,270423000.0,82071000.0
March 2013,4990000.0,270436000.0,84342000.0
June 2013,4765000.0,276370000.0,89635000.0
