,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2009,57016.5,,-232592.5,,
March 2010,57016.5,0.0,-232592.5,,
June 2010,15302.0,0.0,-10376.0,,
September 2010,33869.0,0.0,-72759.0,30.0,30.0
December 2010,12.0,0.0,-12.0,,
March 2011,4612.0,3806.0,-4612.0,,
June 2011,1311.0,1275.0,-1311.0,0.0,0.0
September 2011,11278.0,8456.0,-1257.0,21267.0,21267.0
December 2011,975758.0,2691.0,-965800.0,26752.0,26752.0
March 2012,218475.0,60037.0,-217571.0,108933.0,108933.0
June 2012,655627.0,429968.0,-549246.0,173838.0,172639.0
September 2012,397881.0,-37241.0,-277946.0,83752.0,76696.0
