,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,175223250.0,-31935500.0,,,
June 2019,175223250.0,-31935500.0,,,
September 2019,175223250.0,-31935500.0,,,
December 2019,175223250.0,-31935500.0,,,
March 2020,168704000.0,-43631000.0,,,
June 2020,115093000.0,-76150000.0,,,
September 2020,129930000.0,-36230000.0,,,
December 2020,125379000.0,-72450000.0,2104445000.0,135743000.0,1968702000.0
March 2021,135961000.0,-90479000.0,,,
June 2021,170939000.0,-55987000.0,2092825000.0,157190000.0,1935635000.0
September 2021,233003000.0,-77027000.0,2383440000.0,377791000.0,2005649000.0
December 2021,208677000.0,-41902000.0,2381483000.0,326701000.0,2054782000.0
March 2022,239430000.0,-60479000.0,2515558000.0,427062000.0,2088496000.0
June 2022,309258000.0,-81959000.0,2434896000.0,422866000.0,2012030000.0
