,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2009,1706851.5,494015.0,1212836.5,991525.5,,
March 2010,1706851.5,494015.0,1212836.5,991525.5,,
June 2010,1452356.0,460899.0,991457.0,67727.0,,
September 2010,1855542.0,613229.0,1242313.0,932835.0,13170733.0,12710468.0
December 2010,1432947.0,379220.0,1053727.0,-355367.0,,
March 2011,5056069.0,665690.0,4390379.0,5704262.0,,
June 2011,1632907.0,514178.0,1118729.0,-683834.0,21985958.0,19747433.0
September 2011,2825857.0,924850.0,1901007.0,357841.0,24500718.0,22980531.0
December 2011,1437877.0,381318.0,1056559.0,313946.0,22168838.0,20693714.0
March 2012,1622684.0,429390.0,1193294.0,-291888.0,21872228.0,20408059.0
June 2012,1534815.0,414457.0,1120358.0,200376.0,22446088.0,20924406.0
September 2012,1605891.0,434508.0,1171383.0,1239586.0,24405047.0,22931711.0
December 2012,1594396.0,421921.0,1172475.0,-100376.0,24425296.0,22957051.0
March 2013,1827006.0,456747.0,1370259.0,-459378.0,24794173.0,23401591.0
June 2013,2030671.0,423434.0,1607237.0,-1108410.0,23294152.0,21935981.0
September 2013,1827702.0,539267.0,1288435.0,2930976.0,27558895.0,26355352.0
December 2013,1818085.0,393541.0,1424544.0,131563.0,27091457.0,25845119.0
March 2014,2206816.0,575851.0,1630965.0,525926.0,28636479.0,27413581.0
June 2014,3110557.0,622273.0,2488284.0,1942815.0,31387838.0,30230603.0
September 2014,3304780.0,889570.0,2415210.0,726784.0,33778820.0,32598478.0
December 2014,1879725.0,477704.0,1402021.0,505634.0,31715488.0,28066308.0
March 2015,2035615.0,569418.0,1466197.0,290511.0,32435114.0,28496515.0
June 2015,1806086.0,519991.0,1286095.0,-63947.0,32070440.0,28138626.0
September 2015,1587817.0,461426.0,1126391.0,8955618.0,39671663.0,27176211.0
December 2015,2021294.0,561202.0,1460092.0,-380073.0,37833610.0,25828878.0
March 2016,2874329.0,597635.0,2276694.0,-664663.0,38462442.0,25938070.0
June 2016,2200642.0,632416.0,1568226.0,276922.0,38446004.0,26190019.0
September 2016,2168512.0,596732.0,1571780.0,-513785.0,36813533.0,25171294.0
December 2016,2553846.0,587410.0,1966436.0,-812680.0,36960173.0,25160603.0
March 2017,2498284.0,605239.0,1893045.0,298350.0,38279670.0,27085308.0
June 2017,2705999.0,666244.0,2039755.0,-528163.0,38228160.0,26704393.0
September 2017,3328212.0,641160.0,2687052.0,165739.0,38857800.0,29046401.0
December 2017,2966435.0,778037.0,2188398.0,-1683253.0,37552283.0,30247513.0
March 2018,3431826.0,913935.0,2517891.0,460908.0,40889487.0,29167305.0
June 2018,3876992.0,972857.0,2904135.0,-80219.0,40642934.0,28889350.0
September 2018,3940926.0,858669.0,3082257.0,-2442478.0,41860797.0,27670274.0
December 2018,3799383.0,1048375.0,2751008.0,1045940.0,40349222.0,26959393.0
March 2019,3755122.0,1279744.0,2475378.0,1178850.0,40736317.0,26973043.0
June 2019,3915532.0,1202686.0,2712846.0,638041.0,42015775.0,28624405.0
September 2019,3850105.0,996936.0,2853169.0,-77839.0,47120000.0,34038000.0
December 2019,3905448.0,1083923.0,2821525.0,620000.0,52647396.0,34565419.0
March 2020,3681151.0,948811.0,2732340.0,301575.0,52170930.0,33894476.0
June 2020,4530000.0,1199635.0,3330365.0,1504077.0,59024044.0,39757936.0
September 2020,4481401.0,1321631.0,3159770.0,9448348.0,66167000.0,40117000.0
December 2020,4397000.0,1066000.0,3331000.0,-619000.0,70603000.0,36231000.0
March 2021,4784000.0,960000.0,3824000.0,262000.0,70908000.0,37189000.0
June 2021,6166000.0,1390000.0,4776000.0,290000.0,93567000.0,34958000.0
September 2021,6995000.0,1502000.0,5493000.0,771000.0,90128000.0,35485000.0
December 2021,6503000.0,1369000.0,5134000.0,-1305000.0,87280000.0,31499000.0
March 2022,7487000.0,1893000.0,5594000.0,-492000.0,85058000.0,31119000.0
June 2022,7209000.0,1707000.0,5502000.0,-589000.0,85111000.0,32823000.0
