,NetIncomeLoss,Assets
March 2017,7974250.0,
June 2017,7974250.0,
September 2017,7974250.0,
December 2017,7974250.0,
March 2018,10872500.0,
June 2018,10872500.0,
September 2018,9853000.0,
December 2018,9736000.0,1432650000.0
March 2019,8732000.0,
June 2019,12960000.0,
September 2019,12356000.0,1644745000.0
December 2019,10670000.0,1631858000.0
March 2020,9816000.0,1604542000.0
June 2020,7739000.0,1721757000.0
September 2020,9385000.0,1739873000.0
December 2020,9454000.0,1897489000.0
March 2021,12981000.0,2154360000.0
June 2021,14393000.0,2517840000.0
September 2021,16882000.0,2750228000.0
December 2021,17445000.0,3106158000.0
March 2022,19429000.0,3142317000.0
June 2022,16100000.0,3167850000.0
