,OperatingExpenses,Assets,AssetsCurrent
March 2009,7275000.0,,
June 2009,7275000.0,,
September 2009,7275000.0,,
December 2009,7275000.0,,
March 2010,7214000.0,,
June 2010,7045000.0,,
September 2010,6640000.0,,
December 2010,6851000.0,47596000.0,45905000.0
March 2011,7440000.0,,
June 2011,7574000.0,44099000.0,43066000.0
September 2011,7367000.0,41458000.0,40510000.0
December 2011,6338000.0,37623000.0,36935000.0
March 2012,6837000.0,34493000.0,33915000.0
June 2012,7031000.0,28516000.0,27144000.0
September 2012,5675000.0,28181000.0,26597000.0
