,SellingGeneralAndAdministrativeExpense,Assets
December 2011,921000.0,
March 2012,784000.0,
June 2012,712000.0,
September 2012,611000.0,39769000.0
December 2012,629000.0,39267000.0
March 2013,693000.0,38676000.0
June 2013,206000.0,37976000.0
September 2013,574000.0,38304000.0
December 2013,662000.0,39123000.0
March 2014,688000.0,38203000.0
June 2014,575000.0,37956000.0
September 2014,555000.0,37438000.0
