,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,4623500.0,-897750.0,,
June 2010,4623500.0,-897750.0,,
September 2010,4623500.0,-897750.0,,
December 2010,4623500.0,-897750.0,,
March 2011,4602000.0,111000.0,,
June 2011,4718000.0,592000.0,,
September 2011,4950000.0,1485000.0,,
December 2011,5958000.0,7744000.0,43382000.0,30606000.0
March 2012,6288000.0,1174000.0,68496000.0,54270000.0
June 2012,6123000.0,1199000.0,71022000.0,57954000.0
September 2012,6218000.0,652000.0,73578000.0,59802000.0
December 2012,6974000.0,790000.0,76330000.0,61398000.0
March 2013,6865000.0,27000.0,73763000.0,58831000.0
June 2013,7336000.0,-637000.0,72963000.0,55969000.0
September 2013,7404000.0,-832000.0,71947000.0,52389000.0
December 2013,6853000.0,75000.0,74789000.0,52971000.0
March 2014,7492000.0,-2056000.0,72864000.0,50844000.0
June 2014,7120000.0,-1868000.0,69514000.0,46378000.0
September 2014,7577000.0,-2596000.0,68831000.0,44207000.0
December 2014,4070000.0,-6411000.0,66238000.0,48371000.0
March 2015,4866000.0,-1073000.0,65549000.0,48341000.0
June 2015,4561000.0,-1082000.0,62783000.0,46068000.0
September 2015,4361000.0,-931000.0,85482000.0,38633000.0
December 2015,6219000.0,-388000.0,89026000.0,43328000.0
March 2016,5873000.0,-1565000.0,90149000.0,42521000.0
June 2016,6591000.0,-2757000.0,87661000.0,40535000.0
September 2016,6791000.0,-3365000.0,87063000.0,39620000.0
December 2016,6357000.0,-3053000.0,93399000.0,46563000.0
March 2017,7298000.0,-6656000.0,80506000.0,33613000.0
June 2017,6904000.0,-3276000.0,95445000.0,45776000.0
September 2017,6748000.0,261000.0,100705000.0,49968000.0
December 2017,6692000.0,-106000.0,108780000.0,58688000.0
March 2018,6687000.0,-2375000.0,95724000.0,46345000.0
June 2018,6069000.0,-2584000.0,91004000.0,42410000.0
September 2018,6017000.0,-2220000.0,89380000.0,41996000.0
December 2018,23753000.0,-7555000.0,91463000.0,45267000.0
March 2019,4546000.0,-2244000.0,92397000.0,38801000.0
June 2019,4577000.0,-2487000.0,90254000.0,39182000.0
September 2019,5545000.0,-3725000.0,86985000.0,38957000.0
December 2019,3605000.0,-565000.0,79878000.0,34487000.0
March 2020,3108000.0,-4525000.0,71153000.0,27923000.0
June 2020,2943000.0,-3182000.0,64518000.0,23448000.0
September 2020,3085000.0,-3962000.0,59665000.0,20376000.0
December 2020,2871000.0,108000.0,63243000.0,26357000.0
