,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2007,20162250.0,100925750.0,,
June 2007,20162250.0,100925750.0,,
September 2007,20162250.0,100925750.0,,
December 2007,20162250.0,100925750.0,,
March 2008,19786000.0,105837000.0,,
June 2008,22228000.0,111935000.0,,
September 2008,19946000.0,107463000.0,,
December 2008,19628000.0,101464000.0,1622898000.0,956302000.0
March 2009,18332000.0,99159000.0,,
June 2009,19722000.0,109583000.0,1802617000.0,1058257000.0
September 2009,19310000.0,102675000.0,1885561000.0,1121847000.0
December 2009,19790000.0,109986000.0,1907931000.0,1172376000.0
March 2010,20076000.0,106693000.0,1981242000.0,1249217000.0
June 2010,20807000.0,106939000.0,2036399000.0,1311858000.0
September 2010,20524000.0,111306000.0,2205646000.0,1438327000.0
December 2010,22867000.0,120518000.0,2327670000.0,1586641000.0
March 2011,22254000.0,117124000.0,2447162000.0,1683334000.0
June 2011,23014000.0,125439000.0,2571856000.0,1800008000.0
September 2011,23372000.0,121211000.0,2639615000.0,1863359000.0
December 2011,23707000.0,126237000.0,2723234000.0,1942104000.0
March 2012,23347000.0,117119000.0,2839416000.0,2023479000.0
June 2012,23943000.0,122682000.0,2883556000.0,2065292000.0
September 2012,23756000.0,115322000.0,2997140000.0,2137498000.0
December 2012,24958000.0,122147000.0,3168150000.0,2257726000.0
March 2013,25312000.0,118660000.0,3207317000.0,2287681000.0
June 2013,24650000.0,123062000.0,3285529000.0,2344278000.0
September 2013,23599000.0,120563000.0,3425319000.0,2429082000.0
December 2013,26975000.0,130680000.0,3582629000.0,2556255000.0
March 2014,24746000.0,126635000.0,3649735000.0,2607709000.0
June 2014,26977000.0,131930000.0,3727530000.0,2680606000.0
September 2014,27279000.0,122226000.0,3751676000.0,2699410000.0
December 2014,28724000.0,131916000.0,3877934000.0,2853736000.0
March 2015,28951000.0,119751000.0,3872726000.0,2875973000.0
June 2015,30555000.0,122660000.0,4028844000.0,3006957000.0
September 2015,30703000.0,124655000.0,4121244000.0,3093847000.0
December 2015,28336000.0,128681000.0,4268677000.0,3213533000.0
March 2016,29438000.0,129351000.0,4368395000.0,3310619000.0
June 2016,32578000.0,129581000.0,4448073000.0,3405936000.0
September 2016,30418000.0,123861000.0,,
December 2016,32753000.0,130238000.0,4662059000.0,3635445000.0
March 2017,30752000.0,130673000.0,4810703000.0,3778424000.0
June 2017,32937000.0,130093000.0,4996745000.0,3947235000.0
September 2017,33782000.0,135194000.0,5162985000.0,4078525000.0
December 2017,35122000.0,148795000.0,5324354000.0,4270134000.0
March 2018,34480000.0,130407000.0,4489457000.0,3438578000.0
June 2018,35644000.0,136645000.0,4157744000.0,3124000000.0
September 2018,35173000.0,126997000.0,4043058000.0,2970769000.0
December 2018,38106000.0,142853000.0,3727426000.0,2663163000.0
March 2019,35060000.0,134339000.0,3249728000.0,2077791000.0
June 2019,36490000.0,133208000.0,2822922000.0,1620401000.0
September 2019,34333000.0,126036000.0,2561265000.0,1343906000.0
December 2019,37072000.0,141208000.0,2557055000.0,1312491000.0
March 2020,34989000.0,147735000.0,2666518000.0,1327776000.0
June 2020,31155000.0,117449000.0,2648302000.0,1269427000.0
September 2020,34971000.0,135430000.0,2679286000.0,1291673000.0
December 2020,39662000.0,153084000.0,2839920000.0,1401033000.0
March 2021,38092000.0,143196000.0,3211563000.0,1767923000.0
June 2021,44949000.0,158213000.0,3103647000.0,1638550000.0
September 2021,41986000.0,152545000.0,3115915000.0,1658076000.0
December 2021,43331000.0,173014000.0,3094932000.0,1628942000.0
March 2022,40472000.0,157475000.0,3041269000.0,1585174000.0
June 2022,44006000.0,161877000.0,3040570000.0,1564327000.0
