,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,94713000.0,,
June 2009,94713000.0,,
September 2009,94713000.0,,
December 2009,94713000.0,,
March 2010,86454000.0,,
June 2010,82547000.0,,
September 2010,85425000.0,,
December 2010,92307000.0,,
March 2011,83942000.0,,
June 2011,69977000.0,,
September 2011,84519000.0,,
December 2011,81374000.0,,
March 2012,77519000.0,,
June 2012,65674000.0,,
September 2012,76106000.0,,
December 2012,82507000.0,,
March 2013,68362000.0,,
June 2013,62562000.0,,
September 2013,70832000.0,,
