,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
June 2008,183275000.0,70750000.0,,
September 2008,183275000.0,70750000.0,,
December 2008,183275000.0,70750000.0,,
March 2009,183275000.0,70750000.0,,
June 2009,142000000.0,73000000.0,,
September 2009,151000000.0,81000000.0,,
December 2009,157700000.0,81700000.0,,
March 2010,158700000.0,81300000.0,,
June 2010,151200000.0,70000000.0,2274800000.0,1470900000.0
September 2010,145400000.0,69400000.0,2068700000.0,1239800000.0
December 2010,137300000.0,63100000.0,2153100000.0,1331700000.0
March 2011,152900000.0,79800000.0,2172200000.0,1345500000.0
