,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2009,943250.0,25500.0,917750.0,-203000.0,,,
December 2009,943250.0,25500.0,917750.0,-203000.0,,,
March 2010,943250.0,25500.0,917750.0,-203000.0,,,
June 2010,943250.0,25500.0,917750.0,-203000.0,,,
September 2010,1157000.0,41000.0,1116000.0,273000.0,,,
December 2010,1061000.0,36000.0,1025000.0,1130000.0,,,
March 2011,1104000.0,30000.0,1074000.0,-350000.0,,,
June 2011,1075000.0,-4000.0,1079000.0,77000.0,,,
September 2011,619000.0,49000.0,619000.0,200000.0,,,
December 2011,1349000.0,31000.0,1318000.0,7762000.0,,,
March 2012,1420000.0,38000.0,1382000.0,-439000.0,,,
June 2012,3182000.0,43000.0,3090000.0,-2407000.0,,,
September 2012,629000.0,,629000.0,7881000.0,,,
