,Assets,AssetsCurrent
March 2010,,
June 2010,9510800000.0,1840500000.0
September 2010,9430600000.0,1808200000.0
December 2010,9816800000.0,2050400000.0
March 2011,9623600000.0,1870800000.0
June 2011,9430600000.0,1665500000.0
September 2011,9416900000.0,1568000000.0
December 2011,9983200000.0,1828200000.0
March 2012,9879000000.0,1633700000.0
June 2012,9709000000.0,1378900000.0
September 2012,9844300000.0,1419600000.0
December 2012,10327400000.0,1659100000.0
March 2013,10764400000.0,1600700000.0
June 2013,10777000000.0,1488700000.0
September 2013,10921300000.0,1521700000.0
December 2013,11243500000.0,1972200000.0
March 2014,11802200000.0,2717100000.0
June 2014,11374400000.0,2038400000.0
September 2014,11384900000.0,1757000000.0
December 2014,11282000000.0,1390300000.0
March 2015,11169000000.0,1259300000.0
June 2015,11311400000.0,1147200000.0
