,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,12381250.0,3463250.0,,
June 2009,12381250.0,3463250.0,,
September 2009,12381250.0,3463250.0,,
December 2009,12381250.0,3463250.0,,
March 2010,11733000.0,3137000.0,,
June 2010,10498000.0,2427000.0,,
September 2010,10003000.0,2505000.0,,
December 2010,9933000.0,2300000.0,79805000.0,55052000.0
March 2011,10221000.0,2515000.0,,
June 2011,11963000.0,2756000.0,146163000.0,113388000.0
September 2011,13170000.0,3145000.0,127664000.0,85885000.0
December 2011,15249000.0,3609000.0,133607000.0,80508000.0
March 2012,16394000.0,4018000.0,132307000.0,69174000.0
June 2012,15536000.0,4067000.0,132398000.0,67523000.0
September 2012,17051000.0,3947000.0,130679000.0,63859000.0
December 2012,19560000.0,4611000.0,124743000.0,58496000.0
March 2013,18502000.0,4429000.0,124105000.0,56869000.0
June 2013,18561000.0,4409000.0,123107000.0,56394000.0
September 2013,19025000.0,4146000.0,130489000.0,65183000.0
December 2013,20121000.0,4159000.0,134193000.0,71609000.0
March 2014,20686000.0,4873000.0,139853000.0,70747000.0
June 2014,22392000.0,5045000.0,143903000.0,77998000.0
September 2014,24270000.0,4920000.0,161555000.0,81042000.0
December 2014,26779000.0,5469000.0,176298000.0,88973000.0
March 2015,27298000.0,6038000.0,237367000.0,150131000.0
June 2015,30028000.0,6002000.0,229410000.0,144139000.0
September 2015,29584000.0,6846000.0,234310000.0,143654000.0
December 2015,31381000.0,7202000.0,241642000.0,152055000.0
March 2016,34716000.0,7242000.0,247120000.0,155529000.0
June 2016,36312000.0,7248000.0,258366000.0,152161000.0
September 2016,35968000.0,8637000.0,359261000.0,249382000.0
December 2016,39094000.0,8585000.0,386501000.0,261013000.0
March 2017,41955000.0,9301000.0,385373000.0,255443000.0
June 2017,43991000.0,9277000.0,393796000.0,248534000.0
September 2017,42937000.0,8973000.0,408225000.0,250169000.0
December 2017,47164000.0,10130000.0,447447000.0,251256000.0
