,OperatingExpenses,Assets
March 2009,4051165.0,
June 2009,4051165.0,
September 2009,4051165.0,
December 2009,4051165.0,
March 2010,4742743.0,
June 2010,4690347.0,
September 2010,4288059.0,
December 2010,4182408.0,235854382.0
March 2011,3812969.0,
June 2011,3358072.0,192981227.0
September 2011,2997956.0,190187191.0
December 2011,2773251.0,166776456.0
March 2012,2749383.0,157346956.0
June 2012,2673673.0,163870451.0
September 2012,2748904.0,168561408.0
December 2012,2944506.0,171466758.0
March 2013,3013003.0,171560132.0
June 2013,3188866.0,173096520.0
September 2013,3049335.0,179943842.0
December 2013,3076358.0,172141851.0
March 2014,2985706.0,167576715.0
June 2014,2430105.0,158173313.0
September 2014,2252053.0,148956119.0
December 2014,2099723.0,142016474.0
March 2015,1838272.0,123204450.0
June 2015,1518231.0,101038106.0
September 2015,1577438.0,93509909.0
December 2015,1280441.0,90321212.0
March 2016,1292770.0,83644291.0
June 2016,1226916.0,81024904.0
September 2016,1251324.0,78093139.0
December 2016,1144559.0,73580357.0
March 2017,1201644.0,72402907.0
June 2017,1125685.0,67715243.0
September 2017,1033366.0,63172691.0
December 2017,1058660.0,60344765.0
March 2018,987650.0,58333637.0
June 2018,962678.0,55212072.0
September 2018,977016.0,51795447.0
December 2018,878816.0,46086776.0
March 2019,789497.0,42861281.0
June 2019,712925.0,40538738.0
September 2019,676021.0,38177707.0
December 2019,602460.0,35947224.0
March 2020,577115.0,32578635.0
June 2020,504425.0,28862037.0
September 2020,514407.0,27581017.0
December 2020,452290.0,22620714.0
March 2021,389571.0,19929147.0
June 2021,366432.0,18681540.0
September 2021,384252.0,16943984.0
December 2021,309434.0,15988475.0
March 2022,313404.0,16050274.0
June 2022,306377.0,15557861.0
