,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
September 2009,3380.25,-3380.0,,
December 2009,3380.25,-3380.0,,
March 2010,3380.25,-3380.0,,
June 2010,3380.25,-3380.0,,
September 2010,4926.0,-4926.0,,
December 2010,4494.0,-4494.0,,
March 2011,4511.0,-4511.0,,
June 2011,11357.0,-11357.0,45267.0,39379.0
September 2011,7852.0,-7852.0,,
December 2011,23490.0,-23490.0,20469.0,14581.0
March 2012,10255.0,-10255.0,13764.0,7876.0
June 2012,7111.0,-7111.0,12870.0,6982.0
September 2012,18577.0,-18577.0,8470.0,2582.0
December 2012,10044.0,-10044.0,7706.0,1817.0
March 2013,10305.0,-10305.0,5888.0,
June 2013,,-86751.0,0.0,
September 2013,49329.5,-46751.0,0.0,
December 2013,49329.5,-53864.0,0.0,
March 2014,49329.5,-48622.0,0.0,
June 2014,49329.5,-48081.0,0.0,
September 2014,52798.0,-52798.0,0.0,
December 2014,18260711.0,-18260711.0,295.0,295.0
March 2015,49095.0,-49180.0,1846.0,295.0
June 2015,47914.0,-47829.0,86.0,86.0
September 2015,54571.0,-54571.0,26.0,26.0
December 2015,45060.0,-45060.0,,
March 2016,45750.0,-45750.0,,
June 2016,45000.0,-45000.0,0.0,
September 2016,48293.0,-48293.0,60000.0,60000.0
December 2016,17141.0,-17141.0,3620.0,3620.0
March 2017,17161.0,-17161.0,650.0,650.0
June 2017,4062.0,-119.0,2350.0,2350.0
September 2017,6052.0,-9766.0,1192.0,1192.0
December 2017,6389.0,-6389.0,17414.0,17414.0
March 2018,6456.0,-6456.0,13428.0,13428.0
June 2018,9170.0,-1170.0,5813.0,5813.0
September 2018,5676.0,-9819.0,2463.0,2463.0
December 2018,6770.0,-6770.0,555.0,555.0
March 2019,30281.0,-30281.0,592.0,592.0
June 2019,4163.0,-5735.0,423.0,423.0
September 2019,8756.0,-8756.0,10367.0,10367.0
December 2019,4860.0,-4860.0,492.0,492.0
March 2020,4426.0,-4426.0,821.0,821.0
June 2020,110.0,-3681.0,5776.0,5776.0
September 2020,-19006.0,45435.0,1573.0,1573.0
December 2020,6015.0,-20301.0,2045.0,2045.0
March 2021,8987.0,-21733.0,2446.0,2446.0
June 2021,596.0,11943.0,901.0,901.0
September 2021,15747.0,-13190.0,39570.0,30195.0
December 2021,6342.0,-9028.0,28671.0,20046.0
March 2022,4127.0,-3977.0,24817.0,16942.0
June 2022,4081.0,-12342.0,28904.0,21779.0
