,NetIncomeLoss,Assets
March 2013,43572500.0,
June 2013,43572500.0,
September 2013,43572500.0,
December 2013,43572500.0,
March 2014,41365000.0,
June 2014,45607000.0,
September 2014,33202000.0,
December 2014,37421000.0,2331750000.0
March 2015,37221000.0,
June 2015,37983000.0,2773493000.0
September 2015,36166000.0,2971271000.0
December 2015,31796000.0,2954969000.0
March 2016,29766000.0,2927891000.0
June 2016,37151000.0,2834642000.0
September 2016,19010000.0,2799161000.0
December 2016,,2812368000.0
March 2017,64909000.0,2832451000.0
June 2017,121973000.0,3185460000.0
