,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
December 2020,4876.5,0.0,-7501.5,
March 2021,4876.5,0.0,-7501.5,
June 2021,664.0,0.0,-3289.0,
September 2021,,,,6688.0
December 2021,5063.5,0.0,-7688.5,
March 2022,5063.5,0.0,-7688.5,
June 2022,12744.0,0.0,-15369.0,4490.0
