,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2011,,,,,
June 2011,,,,,
September 2011,,,,9641000.0,
December 2011,,,,9109000.0,
March 2012,-1717000.0,,,,
June 2012,-2055000.0,,,10143000.0,
September 2012,-1928000.0,,,9945000.0,
December 2012,-3468000.0,,24653000.0,9706000.0,
March 2013,1839000.0,885500.0,,10020000.0,
June 2013,2240000.0,885500.0,,,
September 2013,-2120000.0,885500.0,,12165000.0,
December 2013,-3279000.0,885500.0,28195000.0,13162000.0,
March 2014,2047000.0,1015000.0,31940000.0,15261000.0,
June 2014,-2513000.0,1319000.0,33156000.0,16992000.0,
September 2014,2001000.0,930000.0,37821000.0,21979000.0,
December 2014,-2851000.0,-59000.0,33506000.0,17019000.0,
March 2015,-1895000.0,-156000.0,32929000.0,16627000.0,
June 2015,-2110000.0,48000.0,32548000.0,16263000.0,
September 2015,-2097000.0,-479000.0,31526000.0,15438000.0,
December 2015,-7885000.0,-5190000.0,25889000.0,15834000.0,6000.0
March 2016,-1345000.0,-300000.0,25092000.0,15497000.0,
June 2016,1540000.0,86000.0,24821000.0,14809000.0,
September 2016,1347000.0,-103000.0,24966000.0,15047000.0,
December 2016,-2257000.0,1646000.0,23365000.0,14239000.0,9000.0
March 2017,-1272000.0,202000.0,23630000.0,14587000.0,
June 2017,1442000.0,138000.0,24002000.0,14976000.0,
September 2017,-1317000.0,245000.0,24178000.0,15102000.0,
December 2017,-1343000.0,-588000.0,24132000.0,15507000.0,9000.0
March 2018,1381000.0,305000.0,23696000.0,15559000.0,
June 2018,-1574000.0,702000.0,24245000.0,16045000.0,
September 2018,1304000.0,-95000.0,24206000.0,16319000.0,
December 2018,-2108000.0,,24398000.0,17249000.0,9000.0
March 2019,1441000.0,,24723000.0,17686000.0,9000.0
June 2019,-1714000.0,,24803000.0,17643000.0,9000.0
September 2019,1566000.0,,24594000.0,17566000.0,3000.0
December 2019,-1615000.0,,23898000.0,19297000.0,4601000.0
March 2020,1320000.0,,23519000.0,10860000.0,
June 2020,1055000.0,,23267000.0,10616000.0,
September 2020,1006000.0,,23347000.0,11230000.0,
December 2020,-2032000.0,,22670000.0,10662000.0,12008000.0
March 2021,978000.0,,23426000.0,11515000.0,
June 2021,1230000.0,,23754000.0,12021000.0,
September 2021,992000.0,,25032000.0,14801000.0,
December 2021,-2465000.0,,26085000.0,14597000.0,
March 2022,1215000.0,,27229000.0,13608000.0,
June 2022,1330000.0,,28284000.0,15203000.0,
