,NetIncomeLoss,Assets,AssetsCurrent
June 2015,0.0,,
September 2015,-130010.0,,
December 2015,-6.0,10191.0,10191.0
March 2016,0.0,,
June 2016,-45851.0,10191.0,10191.0
September 2016,-4778.0,10196.0,10196.0
December 2016,-7738.0,100928.0,100928.0
March 2017,-119606.0,1186.0,1186.0
June 2017,-18894.0,1192.0,1192.0
September 2017,-21363.0,1192.0,1192.0
December 2017,-15993.0,1193.0,1193.0
March 2018,-29946.0,1193.0,1193.0
June 2018,-18286.0,1195.0,1195.0
September 2018,-22904.0,7795.0,7795.0
December 2018,-21386.0,2119.0,2119.0
March 2019,-20607.0,1259.0,1259.0
June 2019,-14473.0,1347.0,1347.0
September 2019,-17245.0,1347.0,1347.0
December 2019,-19450.0,1347.0,1347.0
March 2020,-11450.0,1347.0,1347.0
June 2020,-10023.0,1348.0,1348.0
September 2020,-10818.0,1348.0,1348.0
December 2020,-18950.0,1348.0,1348.0
March 2021,-10950.0,1348.0,1348.0
June 2021,-9950.0,1348.0,1348.0
