,OperatingExpenses,NetIncomeLoss,Assets
March 2009,,41168500.0,
June 2009,,41168500.0,
September 2009,,41168500.0,
December 2009,,41168500.0,6121321000.0
March 2010,,23647500.0,
June 2010,,23647500.0,6205018000.0
September 2010,,65810000.0,6373775000.0
December 2010,,22304000.0,6588520000.0
March 2011,,46612000.0,6689687000.0
June 2011,,19964000.0,6959999000.0
September 2011,,28535000.0,7458190000.0
December 2011,,14873000.0,7447026000.0
March 2012,,23680000.0,7713391000.0
June 2012,,16065000.0,7798584000.0
September 2012,,17618000.0,7946955000.0
December 2012,,-152784000.0,8189634000.0
March 2013,,25667000.0,8082668000.0
June 2013,,18889000.0,8019538000.0
September 2013,,-216315000.0,6821987000.0
December 2013,,-5301000.0,6646434000.0
March 2014,,20448000.0,6600714000.0
June 2014,,5385000.0,6593360000.0
September 2014,,156740000.0,6170796000.0
December 2014,,-158561000.0,5761639000.0
March 2015,,13630000.0,5734296000.0
June 2015,,12616000.0,5548046000.0
September 2015,,30466000.0,5324243000.0
December 2015,,43145000.0,5231164000.0
March 2016,50176500.0,46402000.0,5103149000.0
June 2016,50176500.0,87844000.0,4911775000.0
September 2016,50176500.0,86388000.0,4965767000.0
December 2016,50176500.0,12260000.0,4526075000.0
March 2017,39185500.0,23814000.0,4518756000.0
June 2017,39185500.0,-5809000.0,4491116000.0
September 2017,32380000.0,33212000.0,4260289000.0
December 2017,30674000.0,-21561000.0,4236945000.0
March 2018,24599000.0,187599000.0,4137306000.0
June 2018,19521000.0,37033000.0,3776874000.0
September 2018,20257000.0,32764000.0,3813728000.0
December 2018,15539000.0,15417000.0,3530772000.0
March 2019,15780000.0,210518000.0,3713937000.0
June 2019,10974000.0,242286000.0,3702171000.0
September 2019,9923000.0,23886000.0,3731343000.0
December 2019,,15990000.0,3319377000.0
March 2020,,424759000.0,3704057000.0
June 2020,,27832000.0,3733155000.0
September 2020,,369000.0,3708774000.0
December 2020,,-1666000.0,3277671000.0
March 2021,,-10018000.0,3260676000.0
June 2021,,-1936000.0,3256268000.0
September 2021,,-2808000.0,3244603000.0
December 2021,,-1634000.0,3081383000.0
March 2022,,1302000.0,3000018000.0
June 2022,,2896000.0,2968480000.0
