,OperatingExpenses,NetIncomeLoss
June 2009,274.3333333333333,-274.3333333333333
September 2009,274.3333333333333,-274.3333333333333
December 2009,274.3333333333333,-274.3333333333333
March 2010,968.0,-968.0
June 2010,48.0,-48.0
September 2010,22191000.0,-22191000.0
December 2010,-22147222.0,22147222.0
March 2011,12161.0,-12161.0
June 2011,7219.0,-7219.0
September 2011,5741.0,-5741.0
December 2011,1289.0,-1289.0
March 2012,19257.0,-19257.0
June 2012,3096.0,-3096.0
