,Assets,AssetsCurrent
March 2012,,
June 2012,240088000.0,65601000.0
September 2012,241329000.0,65595000.0
December 2012,201438000.0,24295000.0
March 2013,209931000.0,27974000.0
June 2013,330284000.0,40653000.0
September 2013,339094000.0,42522000.0
December 2013,347084000.0,41710000.0
March 2014,340081000.0,38578000.0
June 2014,344819000.0,41423000.0
September 2014,373009000.0,64206000.0
December 2014,327720000.0,123483000.0
March 2015,308968000.0,105100000.0
June 2015,268410000.0,70578000.0
September 2015,256175000.0,67122000.0
December 2015,207371000.0,21151000.0
March 2016,200174000.0,21049000.0
June 2016,186572000.0,20762000.0
September 2016,159277000.0,11403000.0
December 2016,148416000.0,13206000.0
March 2017,156298000.0,26264000.0
