,NetIncomeLoss,AssetsCurrent
March 2010,1582.0,
June 2010,1582.0,
September 2010,-33277.0,
December 2010,,13376.0
March 2011,-79407.5,
June 2011,-79407.5,
September 2011,-192879.0,10828.0
