,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2010,1604345.0,-2135767.5,,
June 2010,1604345.0,-2135767.5,,
September 2010,1982265.0,-2135767.5,,
December 2010,2521832.0,-2135767.5,15200680.0,14464804.0
March 2011,2205340.0,-2915103.0,,
June 2011,1364610.0,-1269381.0,,
September 2011,1352840.0,-608524.0,18492658.0,10737548.0
December 2011,2829479.0,-685194.0,10468829.0,9340382.0
March 2012,1462456.0,-497042.0,10144926.0,9109261.0
June 2012,2228794.0,-1328427.0,9072993.0,8141807.0
September 2012,2046014.0,-746455.0,9014475.0,8170802.0
