,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,,,-476500.0,
June 2009,,,-476500.0,
September 2009,,,-476500.0,
December 2009,,,-476500.0,
March 2010,,46450000.0,10812000.0,
June 2010,,46450000.0,6848000.0,
September 2010,,46450000.0,9985000.0,
December 2010,,46450000.0,16156000.0,5115736000.0
March 2011,,56950000.0,14045000.0,
June 2011,,56950000.0,26400000.0,5081770000.0
September 2011,,56950000.0,15834000.0,5000319000.0
December 2011,,56950000.0,3100000.0,5175578000.0
March 2012,,58200000.0,10300000.0,5136178000.0
June 2012,,98000000.0,-25100000.0,
September 2012,,135600000.0,-54700000.0,
December 2012,,63900000.0,20200000.0,5150600000.0
March 2013,,51500000.0,-12600000.0,4892000000.0
June 2013,,62400000.0,19100000.0,5075800000.0
September 2013,,65400000.0,22500000.0,4923200000.0
December 2013,,74400000.0,23400000.0,4786900000.0
March 2014,,71300000.0,39000000.0,4761400000.0
June 2014,,77300000.0,25600000.0,4784500000.0
September 2014,,81700000.0,-3000000.0,4600200000.0
December 2014,,101900000.0,10500000.0,4642200000.0
March 2015,,70400000.0,-72000000.0,4578900000.0
June 2015,,90300000.0,-12400000.0,4464600000.0
September 2015,,78200000.0,4900000.0,4511400000.0
December 2015,,85900000.0,2600000.0,4505200000.0
March 2016,,64500000.0,-4200000.0,4280000000.0
June 2016,,83100000.0,3100000.0,4290800000.0
September 2016,,79500000.0,10200000.0,4426100000.0
December 2016,,82400000.0,7200000.0,4597400000.0
March 2017,,66500000.0,8800000.0,4437500000.0
June 2017,,90300000.0,6200000.0,4410400000.0
September 2017,,78300000.0,7700000.0,4546100000.0
December 2017,,167200000.0,-52500000.0,4772500000.0
March 2018,,74800000.0,7100000.0,4509200000.0
June 2018,,72000000.0,2300000.0,4526800000.0
September 2018,,88400000.0,-20900000.0,4523700000.0
December 2018,,63600000.0,-12500000.0,4296100000.0
March 2019,,52100000.0,-13500000.0,4365300000.0
June 2019,,54500000.0,-27200000.0,4383600000.0
September 2019,,58200000.0,-7700000.0,4238000000.0
December 2019,,43000000.0,-11900000.0,4185000000.0
March 2020,123400000.0,38000000.0,-21500000.0,3895700000.0
June 2020,104900000.0,21300000.0,-4600000.0,4417800000.0
September 2020,112100000.0,24300000.0,10900000.0,4494000000.0
December 2020,,28000000.0,7300000.0,4674100000.0
March 2021,136400000.0,44775000.0,-15400000.0,4587600000.0
June 2021,129700000.0,44775000.0,-11100000.0,4473000000.0
September 2021,122300000.0,44775000.0,-15600000.0,4483900000.0
December 2021,,44775000.0,4200000.0,4476500000.0
March 2022,128300000.0,,5100000.0,4429800000.0
June 2022,139800000.0,,3100000.0,4504700000.0
