,OperatingExpenses,NetIncomeLoss,Assets
March 2009,,-153750.0,
June 2009,,-153750.0,
September 2009,,-153750.0,
December 2009,,-153750.0,
March 2010,,666000.0,
June 2010,,-2563000.0,
September 2010,,-172000.0,
December 2010,,-1185000.0,1004565000.0
March 2011,,-2510000.0,
June 2011,,-2101000.0,1041798000.0
September 2011,,-2672000.0,1064350000.0
December 2011,,-3151000.0,1152791000.0
March 2012,,-2638000.0,1160500000.0
June 2012,,-5217000.0,1340177000.0
September 2012,,-3395000.0,1344818000.0
December 2012,,-5940000.0,1559690000.0
March 2013,,-2872000.0,1687329000.0
June 2013,,-6184000.0,1829160000.0
September 2013,,-5694000.0,2102296000.0
December 2013,,-83000.0,2131275000.0
March 2014,51184500.0,1260000.0,2216189000.0
June 2014,51184500.0,3365000.0,2234983000.0
September 2014,51184500.0,7620000.0,2317449000.0
December 2014,51184500.0,-2290000.0,2340885000.0
March 2015,92611500.0,19211000.0,2801643000.0
June 2015,92611500.0,-25243000.0,6313130000.0
September 2015,147391000.0,-3905000.0,6254509000.0
December 2015,140848000.0,-6460000.0,6254035000.0
March 2016,134526000.0,2253000.0,6039119000.0
June 2016,134510000.0,839000.0,6276923000.0
September 2016,140843000.0,1847000.0,6363355000.0
December 2016,140353000.0,22279000.0,6678998000.0
March 2017,139782000.0,20515000.0,6701761000.0
June 2017,-152392000.0,3553000.0,6864034000.0
September 2017,153861000.0,11064000.0,6907090000.0
December 2017,-145501000.0,32455000.0,6622070000.0
March 2018,139021000.0,48577000.0,6448291000.0
June 2018,139388000.0,16202000.0,6559174000.0
September 2018,144310000.0,17367000.0,6744850000.0
December 2018,-157021000.0,15944000.0,7070879000.0
March 2019,158523000.0,-39392000.0,7373628000.0
June 2019,158385000.0,9786000.0,7486666000.0
September 2019,165851000.0,58755000.0,7428294000.0
December 2019,172798000.0,13576000.0,7466568000.0
March 2020,166891000.0,,7844942000.0
June 2020,163975000.0,,7606708000.0
September 2020,167589000.0,,7942001000.0
December 2020,178888000.0,,8350202000.0
March 2021,179225000.0,,8403835000.0
June 2021,182864000.0,,8425652000.0
September 2021,190765000.0,,8803997000.0
December 2021,197953000.0,,8990189000.0
March 2022,205319000.0,,9004408000.0
June 2022,212553000.0,,9050638000.0
