,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2008,26575000.0,,19200000.0,6550000.0,,
March 2009,26575000.0,,19200000.0,6550000.0,,
June 2009,26575000.0,,19200000.0,6550000.0,,
September 2009,26575000.0,,19200000.0,6550000.0,,
December 2009,31500000.0,2200000.0,25050000.0,11450000.0,,
March 2010,31500000.0,2200000.0,25050000.0,11450000.0,,
June 2010,35500000.0,2200000.0,24400000.0,3500000.0,,
September 2010,14600000.0,2200000.0,3100000.0,81500000.0,,
December 2010,47900000.0,2675000.0,27400000.0,1000000.0,727000000.0,491800000.0
March 2011,48800000.0,2675000.0,28400000.0,6200000.0,,
June 2011,46800000.0,2675000.0,26800000.0,400000.0,,
September 2011,45000000.0,2675000.0,26000000.0,-10400000.0,896900000.0,389900000.0
December 2011,46700000.0,2875000.0,29500000.0,13500000.0,865100000.0,377800000.0
March 2012,50200000.0,2875000.0,32200000.0,7000000.0,909800000.0,425700000.0
June 2012,47500000.0,2875000.0,30400000.0,6400000.0,887400000.0,414800000.0
September 2012,45900000.0,2875000.0,29100000.0,700000.0,878800000.0,406700000.0
December 2012,48200000.0,2500000.0,30500000.0,-200000.0,873700000.0,400300000.0
March 2013,53400000.0,2500000.0,31200000.0,2900000.0,866400000.0,395400000.0
June 2013,42300000.0,2500000.0,28500000.0,9000000.0,865200000.0,399600000.0
September 2013,42300000.0,2500000.0,27900000.0,7900000.0,863300000.0,403100000.0
December 2013,46700000.0,2425000.0,30600000.0,1200000.0,854700000.0,402100000.0
March 2014,47300000.0,2425000.0,31500000.0,3400000.0,862300000.0,409400000.0
June 2014,47100000.0,2425000.0,29900000.0,1800000.0,870800000.0,423200000.0
September 2014,46600000.0,2425000.0,28200000.0,5100000.0,861900000.0,411100000.0
December 2014,46100000.0,2075000.0,29800000.0,-3200000.0,829200000.0,355900000.0
March 2015,49300000.0,2075000.0,32000000.0,3900000.0,795000000.0,332800000.0
June 2015,51600000.0,2075000.0,29900000.0,400000.0,789200000.0,333600000.0
September 2015,68000000.0,2075000.0,27600000.0,-18900000.0,784700000.0,332200000.0
December 2015,45100000.0,2050000.0,28300000.0,-1100000.0,687200000.0,250900000.0
March 2016,48000000.0,2050000.0,33400000.0,7200000.0,677600000.0,246700000.0
June 2016,45500000.0,2050000.0,29300000.0,4700000.0,700000000.0,270300000.0
September 2016,55400000.0,2050000.0,27500000.0,-11200000.0,862300000.0,431200000.0
December 2016,41900000.0,1875000.0,29200000.0,3600000.0,693200000.0,273900000.0
March 2017,57100000.0,1875000.0,30100000.0,-6300000.0,688900000.0,277000000.0
June 2017,43800000.0,1875000.0,28900000.0,7900000.0,696000000.0,280800000.0
September 2017,62100000.0,1875000.0,30400000.0,-92900000.0,690900000.0,273800000.0
December 2017,44400000.0,1525000.0,29200000.0,7300000.0,612800000.0,276000000.0
March 2018,40700000.0,1525000.0,28000000.0,8400000.0,574600000.0,236200000.0
June 2018,48700000.0,1525000.0,26300000.0,-1900000.0,579700000.0,250200000.0
September 2018,42400000.0,1525000.0,22700000.0,6900000.0,569300000.0,252800000.0
December 2018,42300000.0,1550000.0,28700000.0,-4600000.0,589200000.0,253000000.0
March 2019,41600000.0,1550000.0,30200000.0,5600000.0,581000000.0,243700000.0
June 2019,45400000.0,1550000.0,26600000.0,300000.0,583900000.0,248400000.0
September 2019,65900000.0,1550000.0,24200000.0,-23700000.0,570200000.0,237400000.0
December 2019,40000000.0,,26800000.0,-3900000.0,556100000.0,231100000.0
