,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2008,,-3455.3333333333335,,,
September 2008,,-3455.3333333333335,,,
December 2008,,-3455.3333333333335,,,
March 2009,,-3455.3333333333335,,,
June 2009,,-3455.3333333333335,,,
September 2009,,-3455.3333333333335,,,
December 2009,,-3455.3333333333335,,,
March 2010,,-3455.3333333333335,,,
June 2010,,-3455.3333333333335,,,
September 2010,,-4491.0,,,
December 2010,,-3455.3333333333335,,,
March 2011,,-3455.3333333333335,,,
June 2011,,-3455.3333333333335,,,
September 2011,,-5739.0,14045.0,,
December 2011,,,8306.0,,
March 2012,398615.0,-398615.0,,,
June 2012,193379.0,-193379.0,394905.0,75018.0,275190.0
September 2012,,,556322.0,33157.0,
December 2012,,,,,
