,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2008,51600500.0,,,
June 2008,51600500.0,,,
September 2008,51600500.0,,,
December 2008,51600500.0,,,
March 2009,27855000.0,,,
June 2009,29436000.0,,,
September 2009,45796000.0,,,
December 2009,40647000.0,5225667000.0,2359505000.0,
March 2010,46654000.0,,,
June 2010,47320000.0,8046634000.0,5931872000.0,
September 2010,53059000.0,8130496000.0,6023563000.0,
December 2010,46704000.0,8272152000.0,6129535000.0,2142617000.0
March 2011,86376000.0,8029450000.0,5779964000.0,
June 2011,69023000.0,8548447000.0,5877484000.0,
September 2011,93981000.0,8769920000.0,5901318000.0,
December 2011,,8980249000.0,6606967000.0,2373282000.0
March 2012,,8902316000.0,6529566000.0,
June 2012,,9826914000.0,7477468000.0,
September 2012,,10412304000.0,8019605000.0,
December 2012,,12000139000.0,9132143000.0,2867996000.0
March 2013,,11926511000.0,9087826000.0,
June 2013,,11867312000.0,9057972000.0,
September 2013,,11964663000.0,9110360000.0,
December 2013,,13244257000.0,10400842000.0,2843415000.0
March 2014,,13757270000.0,9938025000.0,
June 2014,,14214898000.0,10344932000.0,
September 2014,,15193275000.0,11401425000.0,
December 2014,,20263977000.0,13814776000.0,6449201000.0
March 2015,,19052486000.0,12777584000.0,
June 2015,,19547442000.0,13357108000.0,
September 2015,,20300674000.0,14097713000.0,
December 2015,,22349900000.0,16250417000.0,6171413000.0
March 2016,,22399100000.0,16230200000.0,
June 2016,,22771200000.0,16689100000.0,
September 2016,,23639800000.0,17601800000.0,
December 2016,,25514100000.0,19589300000.0,5924800000.0
March 2017,197175000.0,24642700000.0,18783000000.0,
June 2017,197175000.0,25728300000.0,19839100000.0,
September 2017,197175000.0,27894100000.0,21969300000.0,
December 2017,197175000.0,30684800000.0,24705600000.0,5979200000.0
March 2018,163900000.0,29392900000.0,23470500000.0,
June 2018,217800000.0,28950900000.0,23081500000.0,
September 2018,296500000.0,29763000000.0,23955800000.0,
December 2018,284900000.0,30387700000.0,24711700000.0,5676000000.0
March 2019,149100000.0,29433100000.0,27035900000.0,
June 2019,139000000.0,30739700000.0,28273900000.0,
September 2019,-107600000.0,27157800000.0,24783600000.0,
December 2019,97500000.0,26494800000.0,24112700000.0,2382100000.0
March 2020,30000000.0,24234900000.0,21704300000.0,
June 2020,38400000.0,22867400000.0,20644200000.0,
September 2020,133300000.0,21112900000.0,18661300000.0,
December 2020,12000000.0,22547100000.0,19634400000.0,2912700000.0
March 2021,286000000.0,21162900000.0,18295400000.0,
June 2021,273500000.0,21812400000.0,18908200000.0,
September 2021,223700000.0,22257300000.0,19387400000.0,
December 2021,17800000.0,21746000000.0,,
March 2022,210000000.0,20938000000.0,,
June 2022,12000000.0,21811000000.0,,
