,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2013,2473250.0,23252250.0,-6436500.0,,
June 2013,2473250.0,23252250.0,-6436500.0,,
September 2013,2473250.0,23252250.0,-6436500.0,,
December 2013,2473250.0,23252250.0,-6436500.0,,
March 2014,2192000.0,22008000.0,-5560000.0,,
June 2014,1956000.0,22248000.0,-5429000.0,,
September 2014,2111000.0,20262000.0,-5316000.0,,
December 2014,2268000.0,23695000.0,-8241000.0,139642000.0,74616000.0
March 2015,1582000.0,25051000.0,-9898000.0,,
June 2015,2027000.0,31660000.0,-17685000.0,156264000.0,91679000.0
September 2015,2364000.0,26348000.0,-14199000.0,186473000.0,121186000.0
December 2015,2380000.0,27492000.0,-13750000.0,176389000.0,113722000.0
March 2016,2753000.0,25374000.0,-12007000.0,163704000.0,103969000.0
June 2016,3181000.0,26989000.0,-11983000.0,155026000.0,96337000.0
September 2016,2600000.0,23803000.0,-9454000.0,159696000.0,92834000.0
December 2016,2908000.0,24899000.0,-9768000.0,147165000.0,82660000.0
March 2017,3050000.0,23970000.0,-9103000.0,139644000.0,77414000.0
June 2017,3344000.0,24249000.0,-8043000.0,141963000.0,79621000.0
September 2017,2834000.0,23674000.0,-7462000.0,140705000.0,81264000.0
December 2017,2952000.0,25410000.0,-7507000.0,134474000.0,76418000.0
March 2018,2789000.0,24467000.0,-7105000.0,134150000.0,78173000.0
June 2018,2791000.0,25432000.0,-7361000.0,134511000.0,79003000.0
September 2018,3203000.0,27041000.0,-9532000.0,132369000.0,78051000.0
December 2018,3275000.0,28447000.0,-9526000.0,172342000.0,120058000.0
March 2019,3512000.0,27308000.0,-8989000.0,164636000.0,112975000.0
June 2019,3587000.0,27608000.0,-12036000.0,156913000.0,109475000.0
September 2019,3896000.0,30134000.0,-9663000.0,149508000.0,102764000.0
December 2019,4130000.0,,-8588000.0,141718000.0,96162000.0
March 2020,3895000.0,,-12551000.0,227727000.0,175859000.0
June 2020,3974000.0,,-13713000.0,225669000.0,173408000.0
September 2020,3917000.0,,-6574000.0,221742000.0,170380000.0
December 2020,4472000.0,,-10343000.0,214401000.0,160892000.0
March 2021,4506000.0,,-12720000.0,230416000.0,173690000.0
June 2021,4850000.0,,-5213000.0,397212000.0,220162000.0
September 2021,6262000.0,,-17627000.0,390000000.0,207180000.0
December 2021,6388000.0,,-18786000.0,377267000.0,195964000.0
March 2022,5850000.0,,-16604000.0,380410000.0,198040000.0
June 2022,5649000.0,,-13947000.0,385570000.0,189995000.0
