,OperatingExpenses,NetIncomeLoss,AssetsCurrent
March 2008,19009.444444444445,-19009.444444444445,
June 2008,19009.444444444445,-19009.444444444445,
September 2008,19009.444444444445,-19009.444444444445,
December 2008,19009.444444444445,-19009.444444444445,
March 2009,19009.444444444445,-19009.444444444445,
June 2009,19009.444444444445,-19009.444444444445,
September 2009,19009.444444444445,-19009.444444444445,
December 2009,19009.444444444445,-19009.444444444445,
March 2010,11089.5,-11089.5,
June 2010,11089.5,-11089.5,
September 2010,9238.0,-9238.0,
December 2010,19009.444444444445,-19009.444444444445,5736.0
March 2011,14677.0,-14677.0,
June 2011,14677.0,-14677.0,
September 2011,11529.0,-11529.0,4492.0
