,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,19459000.0,12660000.0,,-18583000.0,,
June 2010,19459000.0,12660000.0,,-15241000.0,,
September 2010,19459000.0,12660000.0,,-17101000.0,,
December 2010,19459000.0,12660000.0,,-18800000.0,62738000.0,52002000.0
March 2011,25333000.0,19179000.0,,-22927000.0,,
June 2011,18937000.0,13302000.0,,55486000.0,97634000.0,89009000.0
September 2011,17251000.0,12406000.0,,-11432000.0,89388000.0,81325000.0
December 2011,12959000.0,8296000.0,,-10746000.0,80110000.0,72540000.0
March 2012,15327000.0,10909000.0,,-13086000.0,66906000.0,59462000.0
June 2012,12554000.0,7957000.0,,-10720000.0,58332000.0,50977000.0
September 2012,12432000.0,7551000.0,,-11301000.0,50501000.0,43411000.0
December 2012,9226000.0,4915000.0,,-324000.0,76308000.0,67467000.0
March 2013,13498000.0,8721000.0,,-11258000.0,105333000.0,58649000.0
June 2013,14074000.0,9585000.0,,-12263000.0,126960000.0,81924000.0
September 2013,11379000.0,7913000.0,,-10500000.0,122458000.0,77572000.0
December 2013,11891000.0,8363000.0,,-8551000.0,114541000.0,70682000.0
March 2014,11140000.0,6919000.0,,-9313000.0,141424000.0,97698000.0
June 2014,12564000.0,7848000.0,,-11073000.0,132405000.0,88758000.0
September 2014,12170000.0,6728000.0,,36975000.0,172079000.0,131099000.0
December 2014,12383000.0,7097000.0,,-12179000.0,161037000.0,121926000.0
March 2015,10514000.0,6489000.0,,-10254000.0,150620000.0,111588000.0
June 2015,13645000.0,6718000.0,,-11697000.0,142434000.0,103351000.0
September 2015,11420000.0,6766000.0,,-10014000.0,136912000.0,97924000.0
December 2015,12401000.0,8223000.0,,-7147000.0,131251000.0,83285000.0
March 2016,14187000.0,7988000.0,5839000.0,-12655000.0,121037000.0,73231000.0
June 2016,14187000.0,7988000.0,5839000.0,-5638000.0,118204000.0,69047000.0
September 2016,17647000.0,9827000.0,5839000.0,36303000.0,156937000.0,106612000.0
December 2016,10304000.0,11766000.0,5839000.0,-7204000.0,198986000.0,148101000.0
March 2017,17600000.0,10005000.0,6014000.0,-16360000.0,182854000.0,132079000.0
June 2017,18325000.0,11292000.0,6014000.0,-16636000.0,170527000.0,119943000.0
September 2017,17002000.0,10344000.0,5958000.0,-15352000.0,152882000.0,102560000.0
December 2017,17171000.0,10948000.0,6923000.0,-2665000.0,145957000.0,96870000.0
March 2018,15607000.0,8110000.0,6697000.0,-13424000.0,140661000.0,91842000.0
June 2018,18216000.0,9347000.0,7569000.0,-15172000.0,142511000.0,93509000.0
September 2018,30365000.0,8090000.0,7075000.0,-24357000.0,182382000.0,156909000.0
December 2018,17790000.0,9600000.0,8090000.0,-14704000.0,169497000.0,144129000.0
March 2019,22516000.0,12392000.0,9224000.0,-18735000.0,164204000.0,117647000.0
June 2019,29059000.0,13080000.0,14570000.0,-19700000.0,152781000.0,100198000.0
September 2019,23729000.0,11439000.0,11473000.0,-18842000.0,130052000.0,75803000.0
December 2019,25841000.0,12312000.0,12571000.0,-11275000.0,119470000.0,63732000.0
