,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2010,369995.0,-273487.0,,
June 2010,417153.0,102331.0,,
September 2010,274010.0,346427.0,,
December 2010,59044.0,2116390.0,299019.0,197150.0
March 2011,337662.0,-283325.0,,
June 2011,547590.0,-86277.0,432911.0,358751.0
September 2011,530450.0,-322676.0,414107.0,337539.0
December 2011,374096.0,-425299.0,344125.0,263856.0
March 2012,433138.0,-273149.0,369270.0,291370.0
June 2012,361877.0,-63132.0,,
September 2012,347655.0,-209343.0,297671.0,265635.0
