,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,2491503.0,541332.0,-964062.0,,,
June 2010,2634697.0,553735.0,-160258.0,,,
September 2010,2736777.0,543944.0,38903.0,,,
December 2010,2886979.0,535787.0,357607.0,37618815.0,25805125.0,
March 2011,2352228.0,524784.0,385552.0,,,
June 2011,2705738.0,572334.0,501162.0,37127500.0,24831534.0,
September 2011,2734166.0,577725.0,826638.0,37847659.0,25382649.0,
December 2011,2824725.0,586106.0,716296.0,37701960.0,26418582.0,
March 2012,2803850.0,599466.0,655864.0,38588399.0,27068720.0,
June 2012,2980628.0,619803.0,655449.0,39311821.0,27774560.0,
September 2012,2926797.0,671503.0,854806.0,39948619.0,31562652.0,
December 2012,3307904.0,633258.0,1004682.0,41229624.0,31830444.0,
March 2013,3075956.0,612123.0,346226.0,40476090.0,30880512.0,
June 2013,3363079.0,627181.0,1057959.0,41839319.0,32190566.0,
September 2013,3663525.0,719552.0,1089991.0,41176886.0,30754826.0,
December 2013,3830027.0,686214.0,1348024.0,43437031.0,32309075.0,
March 2014,3463853.0,760992.0,439976.0,44129543.0,33076438.0,
June 2014,3661395.0,918109.0,715913.0,35740220.0,25847644.0,
September 2014,3639081.0,863011.0,983174.0,36755087.0,27850039.0,
December 2014,3600362.0,837808.0,285089.0,36288922.0,27232350.0,
March 2015,3524922.0,916436.0,193853.0,36959355.0,27419604.0,
June 2015,3418591.0,956465.0,84005.0,36145236.0,26262853.0,
September 2015,3460811.0,1026580.0,75139.0,36198019.0,26259835.0,
December 2015,3676511.0,1057793.0,23684.0,34706324.0,23832785.0,
March 2016,3640765.0,1064321.0,-576327.0,34802905.0,23557077.0,
June 2016,3692278.0,1029941.0,-218192.0,34190425.0,22517464.0,
September 2016,3554915.0,948654.0,121837.0,35490736.0,23860453.0,
December 2016,4821905.0,1003190.0,-1159342.0,35435000.0,23853458.0,
March 2017,6051000.0,1087000.0,-1231000.0,52656870.0,20608574.0,
June 2017,5613277.0,1129809.0,-1368131.0,49894499.0,19571717.0,
September 2017,5309000.0,1051000.0,653000.0,48564360.0,21649826.0,
December 2017,5155723.0,1127191.0,-2547000.0,46921000.0,22758000.0,
March 2018,5748000.0,1157000.0,374000.0,46123000.0,21765000.0,
June 2018,6137000.0,1313000.0,-179000.0,46020000.0,22537000.0,
September 2018,5545000.0,1191000.0,558000.0,46596000.0,23809000.0,
December 2018,5958000.0,1248000.0,-718000.0,44167000.0,22226000.0,19363000.0
March 2019,6125000.0,1714000.0,-345000.0,47089000.0,23366000.0,
June 2019,5987000.0,1499000.0,156000.0,46235000.0,23435000.0,20389000.0
September 2019,5503000.0,1343000.0,-460000.0,42094000.0,19957000.0,19877000.0
December 2019,6153000.0,1361000.0,234000.0,42351000.0,19593000.0,20611000.0
March 2020,5782000.0,1578000.0,-1147000.0,51242000.0,20334000.0,28808000.0
June 2020,5727000.0,1675000.0,-668000.0,51785000.0,21499000.0,28348000.0
September 2020,6002000.0,1826000.0,-775000.0,53036000.0,21391000.0,29747000.0
December 2020,11555000.0,1310000.0,-5498000.0,47918000.0,21398000.0,
March 2021,5957000.0,1382000.0,-233000.0,48099000.0,22058000.0,
June 2021,5969000.0,1464000.0,1537000.0,47540000.0,22262000.0,
September 2021,7089000.0,1435000.0,-187000.0,45747000.0,20416000.0,
December 2021,6217000.0,1269000.0,383000.0,44351000.0,20525000.0,
March 2022,5811000.0,1159000.0,10197000.0,48497000.0,30156000.0,
June 2022,5093000.0,1126000.0,-1360000.0,43004000.0,24748000.0,
