,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2007,24511750.0,554092500.0,,
June 2007,24511750.0,554092500.0,,
September 2007,24511750.0,554092500.0,,
December 2007,24511750.0,554092500.0,,
March 2008,24655000.0,564983000.0,,
June 2008,26726000.0,548467000.0,,
September 2008,25937000.0,417802000.0,,
December 2008,25114000.0,-124659000.0,5764324000.0,1553693000.0
March 2009,18792000.0,78692000.0,,
June 2009,18101000.0,174968000.0,5441751000.0,1202671000.0
September 2009,23804000.0,312451000.0,5676520000.0,1403022000.0
December 2009,17594000.0,363270000.0,6058200000.0,1778129000.0
March 2010,21718000.0,383244000.0,6000587000.0,1718568000.0
June 2010,21964000.0,313400000.0,7449483000.0,3122053000.0
September 2010,21262000.0,365200000.0,7611422000.0,3263067000.0
December 2010,23361000.0,492200000.0,8128019000.0,3702957000.0
March 2011,24572000.0,478376000.0,8124628000.0,3668844000.0
June 2011,25744000.0,658000000.0,7794145000.0,3271533000.0
September 2011,24376000.0,663100000.0,7999580000.0,3331135000.0
December 2011,29781000.0,536900000.0,8062700000.0,3101503000.0
March 2012,25431000.0,621430000.0,8493900000.0,3406577000.0
June 2012,25362000.0,,8373100000.0,3071652000.0
September 2012,23758000.0,,10841771000.0,5289535000.0
December 2012,26746000.0,,10383749000.0,4287959000.0
March 2013,25374000.0,,10776869000.0,4360234000.0
June 2013,27452000.0,,10654290000.0,3874963000.0
September 2013,24106000.0,,10935671000.0,3730247000.0
December 2013,25647000.0,,10970000000.0,3416050000.0
March 2014,24498000.0,,11264748000.0,3389378000.0
June 2014,25398000.0,,11507932000.0,3312652000.0
September 2014,26282000.0,,11537107000.0,2955487000.0
December 2014,27234000.0,,11393900000.0,2489789000.0
March 2015,24869000.0,,11247902000.0,2002038000.0
June 2015,25000000.0,,13348619000.0,3863456000.0
September 2015,23578000.0,,12732300000.0,3010904000.0
December 2015,25953000.0,,12593200000.0,2484200000.0
March 2016,26300000.0,,12807700000.0,2459000000.0
June 2016,23600000.0,,12787400000.0,2352200000.0
September 2016,22700000.0,,13063000000.0,2549800000.0
December 2016,21700000.0,,13234300000.0,2566100000.0
March 2017,21400000.0,,13523000000.0,2773800000.0
June 2017,22200000.0,,13515300000.0,2644700000.0
September 2017,25000000.0,,13982400000.0,2952400000.0
December 2017,24500000.0,,13780100000.0,3170100000.0
March 2018,24100000.0,,14038100000.0,3317200000.0
June 2018,26200000.0,,14045900000.0,3169500000.0
September 2018,26400000.0,,14316700000.0,3273200000.0
December 2018,25900000.0,,14287600000.0,3180000000.0
March 2019,28500000.0,,15542600000.0,3182400000.0
June 2019,30900000.0,,15344600000.0,3098100000.0
September 2019,32000000.0,,16494400000.0,4177600000.0
December 2019,40400000.0,,16407400000.0,4184700000.0
March 2020,29100000.0,,16212100000.0,4139700000.0
June 2020,31400000.0,,15805000000.0,3859700000.0
September 2020,33400000.0,,16248400000.0,4337800000.0
December 2020,32300000.0,,16946500000.0,4815200000.0
March 2021,30100000.0,,17217800000.0,5036300000.0
June 2021,31400000.0,,17695400000.0,5511500000.0
September 2021,31300000.0,,18110300000.0,5890800000.0
December 2021,32400000.0,,18297600000.0,6139600000.0
March 2022,30300000.0,,17898900000.0,5768500000.0
June 2022,30900000.0,,17121500000.0,4968800000.0
