,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,9471500.0,,
June 2009,9471500.0,,
September 2009,9471500.0,,
December 2009,9471500.0,,
March 2010,6973000.0,,
June 2010,6464000.0,,
September 2010,5772000.0,,
December 2010,5345000.0,23612000.0,22396000.0
March 2011,6050000.0,,
June 2011,5406000.0,23980000.0,22775000.0
September 2011,5389000.0,27574000.0,25605000.0
December 2011,5434000.0,26192000.0,23640000.0
March 2012,6186000.0,26486000.0,23672000.0
June 2012,5590000.0,25623000.0,22943000.0
September 2012,6168000.0,26422000.0,23953000.0
December 2012,5285000.0,24719000.0,22168000.0
March 2013,5321000.0,26486000.0,24029000.0
June 2013,5281000.0,26153000.0,23784000.0
