,OperatingExpenses,NetIncomeLoss
June 2009,5602.5,-5602.5
September 2009,5602.5,-5602.5
December 2009,5602.5,-5602.5
March 2010,968.0,-968.0
June 2010,48.0,-48.0
September 2010,22191.0,-22191.0
December 2010,5602.5,-5602.5
March 2011,12161.0,-12161.0
June 2011,7219.0,-7219.0
September 2011,5741.0,-5741.0
