,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,6412699.5,3486498.25,,
June 2009,6412699.5,3486498.25,,
September 2009,6412699.5,3486498.25,,
December 2009,6412699.5,3486498.25,,
March 2010,7303233.0,3322630.0,,
June 2010,8102849.0,3929622.0,,
September 2010,6503567.0,6052162.0,,
December 2010,6016791.0,5058633.0,111376285.0,100537537.0
March 2011,6685990.0,5055000.0,,
June 2011,8419671.0,5533229.0,123530000.0,112556000.0
September 2011,6275000.0,6831221.0,129665000.0,119204000.0
December 2011,7350510.0,5523037.0,144353000.0,134086000.0
March 2012,7935303.0,5627551.0,132513000.0,122372000.0
June 2012,8383000.0,6093744.0,149183000.0,135812000.0
September 2012,8218715.0,5995000.0,157672000.0,139350000.0
December 2012,8315285.0,8622613.0,145139937.0,127846602.0
March 2013,8537841.0,9957000.0,156391000.0,139632000.0
June 2013,8981190.0,10807807.0,174712000.0,158439000.0
September 2013,10387000.0,5092724.0,181232000.0,165141000.0
December 2013,9872508.0,6180680.0,179973865.0,162652549.0
March 2014,10300000.0,9376385.0,171144000.0,154710000.0
June 2014,9840579.0,11028165.0,184523000.0,168455000.0
September 2014,11439000.0,10361425.0,195212000.0,179661000.0
December 2014,9490401.0,8292244.0,173078417.0,157991422.0
March 2015,10537491.0,8940904.0,187387000.0,173530000.0
June 2015,10818000.0,11303440.0,209819000.0,196492000.0
September 2015,10576445.0,12750190.0,224404000.0,211820000.0
December 2015,11165707.0,8983989.0,241237370.0,227789967.0
March 2016,11342147.0,12894000.0,212190000.0,198931000.0
June 2016,11165000.0,13061000.0,234235000.0,220298000.0
September 2016,11676419.0,16235000.0,262365000.0,247902000.0
December 2016,12879524.0,13643939.0,240862000.0,224764000.0
March 2017,11660000.0,13985000.0,237015000.0,219975000.0
June 2017,13131000.0,12769000.0,244749000.0,227117000.0
September 2017,12091000.0,14020000.0,265611000.0,247844000.0
December 2017,13898000.0,10840000.0,295731000.0,277558000.0
March 2018,7503000.0,15508000.0,281933000.0,264081000.0
June 2018,14003000.0,17011000.0,297818000.0,278495000.0
September 2018,8514000.0,15902000.0,317913000.0,293790000.0
December 2018,14848000.0,9848000.0,310526000.0,286334000.0
March 2019,9964000.0,11502000.0,349126000.0,309045000.0
June 2019,8356000.0,14460000.0,364647000.0,312254000.0
September 2019,8153000.0,14510000.0,379667000.0,328330000.0
December 2019,8727000.0,9958000.0,362359000.0,312723000.0
March 2020,8064000.0,11863000.0,386695000.0,337776000.0
June 2020,8316000.0,13796000.0,391011000.0,340252000.0
September 2020,8817000.0,25091000.0,443440000.0,393041000.0
December 2020,9354000.0,17844000.0,464349000.0,415635000.0
