,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,5772.5,,22767.0,-5772.5,,
June 2010,5772.5,,22767.0,-5772.5,,
September 2010,22059.75,,22767.0,-7555.0,,
December 2010,22059.75,,22767.0,-5401.0,,
March 2011,22059.75,,22767.0,-10915.0,,
June 2011,22059.75,,22767.0,-64493.0,35065.0,
September 2011,9231.75,,3555.0,-3555.0,6133.0,
December 2011,9231.75,,3305.0,-3305.0,5033.0,
March 2012,9231.75,,3280.0,-3280.0,2908.0,
June 2012,9231.75,,-9031.0,-27662.0,1774.0,
September 2012,3680.0,,3958.0,-3958.0,1509.0,
December 2012,2980.0,,50.0,-3299.0,1459.0,
March 2013,4137.0,0.0,4455.0,-4455.0,202.0,
June 2013,12316.0,1387.0,-7794.0,1268.0,2089.0,
September 2013,2236.0,0.0,86.0,-2644.0,3419.0,
December 2013,2936.0,,786.0,-3445.0,15.0,400278.0
March 2014,211394.0,1142.0,13.0,-11917.0,,
June 2014,195875.0,10391.0,,-192185.0,380630.0,277502.0
September 2014,1305011.0,41506.0,,-1285751.0,1594178.0,1492400.0
December 2014,744832.0,98206.0,,-934423.0,1074949.0,958613.0
March 2015,546797.0,88339.0,,-533425.0,670286.0,558225.0
June 2015,555589.0,102839.0,,-528309.0,772360.0,642950.0
September 2015,417486.0,72376.0,,-602579.0,439696.0,315014.0
December 2015,,,,,,
March 2016,,,,,,
June 2016,,,,,,
September 2016,,,,,,
December 2016,,,,,,
March 2017,,,,,,
June 2017,,,,,,
September 2017,,,,,,
December 2017,,,,,,
March 2018,,,,,,
June 2018,,,,,,
September 2018,,,,,,
December 2018,,,,,,
March 2019,,,,,,
June 2019,,,,,,
September 2019,,,,,,
December 2019,,,,,,
March 2020,,,,-18017.0,,
June 2020,,,,-17551.0,,
September 2020,,,,-17298.0,,
December 2020,,,,-17292.0,11990.0,11990.0
March 2021,,,,-18452.0,,
June 2021,,,,-71296.0,,
September 2021,,,,-210750.0,74178.0,74178.0
December 2021,,,,-46328.0,49658.0,49658.0
March 2022,,,,-21252.0,38258.0,38258.0
June 2022,,,,-33190.0,31166.0,31166.0
