,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2008,691750000.0,1419250000.0,,,
September 2008,691750000.0,1419250000.0,,,
December 2008,691750000.0,1419250000.0,,,
March 2009,691750000.0,1419250000.0,,,
June 2009,813500000.0,1557500000.0,47416000000.0,18581000000.0,28835000000.0
September 2009,813500000.0,1557500000.0,52998000000.0,24445000000.0,28553000000.0
December 2009,813500000.0,1557500000.0,53833000000.0,25235000000.0,28598000000.0
March 2010,813500000.0,1557500000.0,59386000000.0,23979000000.0,35407000000.0
June 2010,1103000000.0,2136750000.0,61578000000.0,27004000000.0,34574000000.0
September 2010,1119000000.0,2136750000.0,,,
December 2010,1127000000.0,2136750000.0,67243000000.0,32723000000.0,34520000000.0
March 2011,1170000000.0,2136750000.0,67666000000.0,32459000000.0,35207000000.0
June 2011,1050000000.0,1840000000.0,73535000000.0,39174000000.0,34361000000.0
September 2011,1102000000.0,2192000000.0,73859000000.0,39206000000.0,34653000000.0
December 2011,1145000000.0,2498000000.0,72910000000.0,38482000000.0,34428000000.0
March 2012,1226000000.0,3451000000.0,74361000000.0,37538000000.0,36823000000.0
June 2012,1201000000.0,2034000000.0,78327000000.0,40023000000.0,38304000000.0
September 2012,1199000000.0,2581000000.0,76558000000.0,38172000000.0,38386000000.0
December 2012,1186000000.0,2504000000.0,79657000000.0,41129000000.0,38528000000.0
March 2013,1264000000.0,3806000000.0,79450000000.0,40686000000.0,38764000000.0
June 2013,1237000000.0,2191000000.0,81812000000.0,41692000000.0,40120000000.0
September 2013,1273000000.0,2553000000.0,86406000000.0,45457000000.0,40949000000.0
December 2013,1292000000.0,2565000000.0,85238000000.0,44252000000.0,40986000000.0
March 2014,1349000000.0,3646000000.0,86562000000.0,44404000000.0,42158000000.0
June 2014,1329000000.0,2184000000.0,90344000000.0,48138000000.0,42206000000.0
September 2014,1389000000.0,2502000000.0,99726000000.0,58194000000.0,41532000000.0
December 2014,1370000000.0,2495000000.0,98305000000.0,52040000000.0,46265000000.0
March 2015,1436000000.0,2757000000.0,98816000000.0,51294000000.0,47522000000.0
June 2015,1390000000.0,1747000000.0,110903000000.0,63183000000.0,47720000000.0
September 2015,1444000000.0,2197000000.0,109706000000.0,62122000000.0,47584000000.0
December 2015,1419000000.0,2142000000.0,106483000000.0,58618000000.0,47865000000.0
March 2016,1534000000.0,2815000000.0,104894000000.0,57069000000.0,47825000000.0
June 2016,1520000000.0,1832000000.0,112180000000.0,64313000000.0,47867000000.0
September 2016,1510000000.0,2032000000.0,123223000000.0,74451000000.0,48772000000.0
December 2016,1521000000.0,2239000000.0,123600000000.0,64734000000.0,58866000000.0
March 2017,1608000000.0,3232000000.0,125382000000.0,66011000000.0,59371000000.0
June 2017,1574000000.0,2210000000.0,134991000000.0,74515000000.0,60476000000.0
September 2017,1473000000.0,2233000000.0,133597000000.0,73335000000.0,60262000000.0
December 2017,1498000000.0,-4047000000.0,138762000000.0,78545000000.0,60217000000.0
March 2018,1546000000.0,3429000000.0,138201000000.0,77732000000.0,60469000000.0
June 2018,1564000000.0,2265000000.0,137264000000.0,75964000000.0,61300000000.0
September 2018,1475000000.0,2333000000.0,128358000000.0,67009000000.0,61349000000.0
December 2018,1426000000.0,2745000000.0,118318000000.0,56938000000.0,61380000000.0
March 2019,1561000000.0,3740000000.0,109438000000.0,47617000000.0,61821000000.0
June 2019,1557000000.0,2137000000.0,108709000000.0,46386000000.0,62323000000.0
September 2019,1531000000.0,2311000000.0,106229000000.0,42384000000.0,63845000000.0
December 2019,1500000000.0,2571000000.0,98443000000.0,34540000000.0,63903000000.0
March 2020,1479000000.0,3116000000.0,96704000000.0,33442000000.0,63262000000.0
June 2020,1589000000.0,2251000000.0,115438000000.0,52140000000.0,63298000000.0
September 2020,1601000000.0,2442000000.0,113546000000.0,49939000000.0,63607000000.0
December 2020,1621000000.0,5021000000.0,110014000000.0,46251000000.0,63763000000.0
March 2021,1716000000.0,4032000000.0,118109000000.0,43744000000.0,74365000000.0
June 2021,1684000000.0,2457000000.0,131107000000.0,55567000000.0,75540000000.0
September 2021,1754000000.0,-1247000000.0,122924000000.0,47117000000.0,75807000000.0
December 2021,1816000000.0,2319000000.0,106897000000.0,31078000000.0,75819000000.0
March 2022,1965000000.0,3188000000.0,108644000000.0,31675000000.0,76969000000.0
June 2022,2093000000.0,1548000000.0,109297000000.0,31633000000.0,77664000000.0
