,OperatingExpenses,NetIncomeLoss
September 2016,3562.0,-3562.0
December 2016,4500.0,-4500.0
March 2017,1900.0,-1900.0
June 2017,1500.0,2250.0
September 2017,1500.0,-1500.0
December 2017,4500.0,-4500.0
