,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2009,10325000.0,273146000.0,73025000.0,,,
September 2009,10325000.0,269853000.0,55893000.0,,,
December 2009,10325000.0,256976000.0,-9400000.0,,,
March 2010,10325000.0,307303000.0,60519000.0,,,
June 2010,10225000.0,253421000.0,68996000.0,3004024000.0,1448736000.0,1171336000.0
September 2010,10225000.0,250070000.0,48791000.0,3058845000.0,1478335000.0,1204276000.0
December 2010,10225000.0,256676000.0,1097000.0,3118555000.0,1522366000.0,1218042000.0
March 2011,10225000.0,298299000.0,70174000.0,3155758000.0,1531729000.0,1242551000.0
June 2011,11350000.0,273140000.0,76811000.0,3515029000.0,1867970000.0,1257032000.0
September 2011,11350000.0,282154000.0,49931000.0,3517093000.0,1855343000.0,
December 2011,11350000.0,277456000.0,6625000.0,3432013000.0,1721211000.0,
March 2012,11350000.0,322964000.0,82569000.0,3414085000.0,1684432000.0,
June 2012,12325000.0,310940000.0,33913000.0,3561813000.0,1811337000.0,
September 2012,12325000.0,325761000.0,30924000.0,4115526000.0,1794861000.0,
December 2012,12325000.0,318638000.0,-42356000.0,3965570000.0,1798540000.0,
March 2013,12325000.0,353896000.0,65378000.0,3922921000.0,1751459000.0,
June 2013,13650000.0,335459000.0,103098000.0,4115526000.0,1886272000.0,
September 2013,13650000.0,343048000.0,63562000.0,4063126000.0,1849808000.0,
December 2013,13650000.0,322205000.0,16221000.0,4070521000.0,1813627000.0,
March 2014,13650000.0,389416000.0,108779000.0,4033805000.0,1751398000.0,
June 2014,14175000.0,346525000.0,99079000.0,4378365000.0,2062295000.0,
September 2014,14175000.0,334889000.0,69766000.0,4346722000.0,2039474000.0,
December 2014,14175000.0,346171000.0,-57348000.0,4197253000.0,1959813000.0,
March 2015,14175000.0,395359000.0,127987000.0,4571203000.0,2036437000.0,
June 2015,15375000.0,372854000.0,99815000.0,4694240000.0,2099846000.0,
September 2015,15375000.0,352594000.0,83433000.0,4661407000.0,2125507000.0,
December 2015,15375000.0,370913000.0,18582000.0,4518232000.0,2011415000.0,
March 2016,15375000.0,424616000.0,152895000.0,4448089000.0,1930308000.0,
June 2016,16225000.0,384085000.0,112769000.0,4776041000.0,2138342000.0,
September 2016,16225000.0,419494000.0,-70926000.0,4726899000.0,2095085000.0,
December 2016,16225000.0,386032000.0,11928000.0,4547461000.0,2041105000.0,
March 2017,16225000.0,453909000.0,128052000.0,4732219000.0,2079879000.0,
June 2017,17425000.0,394409000.0,116416000.0,5090449000.0,2397436000.0,
September 2017,17425000.0,419599000.0,95463000.0,5108916000.0,2362948000.0,
December 2017,17425000.0,382972000.0,40227000.0,5144671000.0,2395056000.0,
March 2018,17425000.0,466163000.0,85664000.0,5135925000.0,2357344000.0,
June 2018,17900000.0,415053000.0,69764000.0,5271822000.0,2470931000.0,
September 2018,17900000.0,385842000.0,49224000.0,5223392000.0,2432715000.0,
December 2018,17900000.0,410871000.0,14190000.0,5238953000.0,2372211000.0,
March 2019,17900000.0,557864000.0,133380000.0,5219436000.0,2299711000.0,
June 2019,19125000.0,400566000.0,106188000.0,5441355000.0,2518092000.0,
September 2019,19125000.0,403357000.0,77030000.0,5596425000.0,2416269000.0,
December 2019,19125000.0,381866000.0,11853000.0,5580998000.0,2360265000.0,
March 2020,19125000.0,362864000.0,109314000.0,5565870000.0,2315468000.0,
June 2020,19400000.0,395953000.0,180595000.0,5630954000.0,2423429000.0,
September 2020,19400000.0,399418000.0,127659000.0,5694419000.0,2457035000.0,
December 2020,19400000.0,402186000.0,38242000.0,5790208000.0,2452432000.0,
March 2021,19400000.0,466469000.0,156147000.0,5792385000.0,2447573000.0,
June 2021,20125000.0,418850000.0,134582000.0,6252969000.0,2782004000.0,
September 2021,20125000.0,437709000.0,124875000.0,6166204000.0,2712696000.0,
December 2021,20125000.0,433569000.0,33019000.0,6254899000.0,2759421000.0,
March 2022,20125000.0,498156000.0,199005000.0,6330602000.0,2810355000.0,
