,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,28145500.0,1452500.0,,
June 2009,28145500.0,1452500.0,,
September 2009,28145500.0,1452500.0,,
December 2009,28145500.0,1452500.0,,
March 2010,25502000.0,1243000.0,,
June 2010,22266000.0,1230000.0,,
September 2010,23052000.0,1237000.0,,
December 2010,21304000.0,1187000.0,156692000.0,78050000.0
March 2011,21936000.0,1682000.0,,
June 2011,21657000.0,1361000.0,152248000.0,78785000.0
September 2011,21487000.0,1329000.0,146655000.0,75117000.0
December 2011,66188000.0,1326000.0,94975000.0,72596000.0
March 2012,19191000.0,1185000.0,91078000.0,63984000.0
June 2012,18394000.0,1040000.0,91328000.0,64161000.0
September 2012,19524000.0,1143000.0,94309000.0,45155000.0
December 2012,21951000.0,1296000.0,90010000.0,43422000.0
March 2013,21579000.0,1620000.0,89063000.0,43597000.0
