,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2009,819425.25,-317836.0,,,
September 2009,819425.25,-317836.0,,,
December 2009,819425.25,-317836.0,,,
March 2010,819425.25,-317836.0,,,
June 2010,864994.5,-451574.0,,,
September 2010,864994.5,-191625.0,,,
December 2010,864994.5,205437.0,,,
March 2011,864994.5,-1031536.0,7077382.0,7069065.0,8317.0
June 2011,946571.0,-415288.0,7637635.0,7629318.0,8317.0
September 2011,946571.0,-591354.0,12547393.0,12539076.0,8317.0
December 2011,946571.0,-159395.0,7769068.0,7760751.0,8317.0
March 2012,946571.0,-741399.0,5917996.0,5909679.0,8317.0
