,OperatingExpenses,Assets
March 2009,2201026.0,
June 2009,2201026.0,
September 2009,2201026.0,
December 2009,2201026.0,
March 2010,1998069.0,
June 2010,1998069.0,
September 2010,2005898.0,
December 2010,4196694.0,287826784.0
March 2011,2501536.0,
June 2011,2101801.0,
September 2011,6870879.0,322374140.0
December 2011,2280930.0,330934407.0
March 2012,3689156.0,321113409.0
June 2012,2019055.0,323408243.0
September 2012,2946519.0,313124949.0
December 2012,2726177.0,279441442.0
March 2013,2576044.0,268983680.0
June 2013,2363731.0,249777626.0
September 2013,3285007.0,216721536.0
December 2013,1829771.0,183265769.0
March 2014,1528321.0,148079736.0
June 2014,1360318.0,135374830.0
September 2014,1243070.0,143921012.0
December 2014,5054662.0,160883084.0
March 2015,4406698.0,167624110.0
June 2015,1395067.0,125648779.0
September 2015,1439507.0,143372070.0
December 2015,1569920.0,145557085.0
March 2016,1774396.0,135993125.0
June 2016,1365929.0,130185950.0
September 2016,1368885.0,122980135.0
December 2016,1325825.0,114624231.0
March 2017,1180478.0,101544846.0
June 2017,1053034.0,90976737.0
September 2017,858541.0,81584035.0
December 2017,702216.0,79076058.0
March 2018,607142.0,69677782.0
June 2018,564807.0,58734950.0
September 2018,432055.0,54386785.0
