,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,,16889500.0,,,
June 2009,,16889500.0,,,
September 2009,,16889500.0,,,
December 2009,,16889500.0,,,
March 2010,,8885000.0,,,
June 2010,,13089000.0,,,
September 2010,,15384000.0,,,
December 2010,,40540000.0,230658000.0,154356000.0,
March 2011,,40651000.0,,,
June 2011,,18595000.0,338673000.0,81791000.0,
September 2011,,10447000.0,334846000.0,83762000.0,
December 2011,,18946000.0,350060000.0,104220000.0,
March 2012,2225000.0,8462000.0,317302000.0,75633000.0,
June 2012,2225000.0,8447000.0,318395000.0,79817000.0,
September 2012,2225000.0,8048000.0,314336000.0,83704000.0,
December 2012,2225000.0,2027000.0,322627000.0,95909000.0,
March 2013,2175000.0,6925000.0,325815000.0,106028000.0,
June 2013,2175000.0,6828000.0,318924000.0,103900000.0,
September 2013,2175000.0,5762000.0,324363000.0,112613000.0,
December 2013,2175000.0,8015000.0,326898000.0,120168000.0,
March 2014,2375000.0,4890000.0,327012000.0,123764000.0,
June 2014,2375000.0,4291000.0,330887000.0,132139000.0,
September 2014,2375000.0,4652000.0,335173000.0,142502000.0,
December 2014,2375000.0,6912000.0,337890000.0,144955000.0,
March 2015,2570000.0,3917000.0,329471000.0,140067000.0,
June 2015,2570000.0,3376000.0,335556000.0,149467000.0,
September 2015,2570000.0,4220000.0,325927000.0,144319000.0,
December 2015,2570000.0,68732000.0,390422000.0,141613000.0,244820000.0
March 2016,2908000.0,3444000.0,384739000.0,139843000.0,
June 2016,3212000.0,3451000.0,388407000.0,147077000.0,
September 2016,3645000.0,4058000.0,391132000.0,152236000.0,
December 2016,3702000.0,3026000.0,388087000.0,155862000.0,232225000.0
March 2017,4105000.0,854000.0,381265000.0,149517000.0,231748000.0
June 2017,4662000.0,1498000.0,371222000.0,140914000.0,230308000.0
September 2017,5001000.0,3727000.0,375017000.0,145740000.0,229277000.0
December 2017,4934000.0,21384000.0,348004000.0,146860000.0,203701000.0
March 2018,5735000.0,511000.0,347868000.0,147808000.0,200060000.0
June 2018,6177000.0,-1172000.0,338705000.0,138197000.0,200508000.0
September 2018,5934000.0,-481000.0,339363000.0,139264000.0,200099000.0
December 2018,6618000.0,189000.0,327712000.0,130978000.0,196734000.0
March 2019,6167000.0,742000.0,340602000.0,128618000.0,211984000.0
June 2019,6807000.0,-670000.0,338073000.0,126776000.0,211297000.0
September 2019,7437000.0,-1326000.0,332031000.0,121230000.0,210801000.0
December 2019,7132000.0,-9511000.0,319872000.0,117665000.0,202207000.0
March 2020,5449000.0,-4539000.0,310802000.0,110250000.0,200552000.0
June 2020,2754000.0,3759000.0,313695000.0,111373000.0,202322000.0
September 2020,3459000.0,3165000.0,322273000.0,118601000.0,203672000.0
December 2020,4166000.0,-46610000.0,277291000.0,118885000.0,158406000.0
March 2021,4444000.0,-2297000.0,272676000.0,110282000.0,162394000.0
June 2021,4156000.0,-719000.0,269239000.0,105174000.0,164065000.0
September 2021,4178000.0,-2494000.0,269752000.0,104503000.0,165249000.0
December 2021,5142000.0,-16670000.0,248154000.0,94053000.0,154101000.0
March 2022,6497000.0,-7214000.0,232875000.0,78674000.0,154201000.0
June 2022,2624000.0,1924000.0,228876000.0,72990000.0,155886000.0
