,OperatingExpenses,Assets
March 2010,1896000.0,
June 2010,1976000.0,
September 2010,1933000.0,
December 2010,1891000.0,64091000.0
March 2011,1874000.0,
June 2011,1953000.0,61898000.0
September 2011,2040000.0,61702000.0
December 2011,1912000.0,61099000.0
March 2012,2021000.0,59863000.0
June 2012,2137000.0,59519000.0
September 2012,2154000.0,59262000.0
December 2012,2109000.0,58546000.0
March 2013,2131000.0,57169000.0
June 2013,2046000.0,56769000.0
September 2013,2325000.0,56468000.0
December 2013,2153000.0,55960000.0
March 2014,2416000.0,54387000.0
June 2014,2167000.0,54148000.0
September 2014,2251000.0,53924000.0
December 2014,2343000.0,53478000.0
March 2015,2253000.0,52135000.0
June 2015,2195000.0,51881000.0
September 2015,2254000.0,51935000.0
December 2015,1869000.0,35738000.0
March 2016,1698000.0,34377000.0
June 2016,1372000.0,25375000.0
September 2016,1211000.0,22097000.0
December 2016,734000.0,14185000.0
March 2017,785000.0,13609000.0
June 2017,469000.0,11100000.0
September 2017,72000.0,924000.0
December 2017,23000.0,318000.0
