,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,24632.0,,-120643.0,,
June 2010,41999.0,,46018.0,,
September 2010,14632.0,,-18607.0,,
December 2010,-43241.0,,39090.0,5288033.0,697017.0
March 2011,177432.0,,-181407.0,,
June 2011,724959.0,,-716545.0,29003640.0,4049232.0
September 2011,1065890.0,,-1054716.0,28038433.0,3812255.0
December 2011,2826134.0,,-2819985.0,25260501.0,3560035.0
March 2012,823794.0,,-795909.0,32006857.0,10794460.0
June 2012,1894461.0,,-1888539.0,30129567.0,7912483.0
September 2012,-822618.0,,846630.0,30982777.0,6739044.0
December 2012,2052718.0,,-2048845.0,28862899.0,6181544.0
March 2013,310185.0,,-297129.0,28601570.0,5918449.0
June 2013,342660.0,,-300072.0,28453504.0,17110474.0
September 2013,286743.0,,1021598.0,28614316.0,17271708.0
December 2013,294025.0,,557625.0,17386044.0,17386044.0
March 2014,291737.0,,1561668.0,17990547.0,
June 2014,258369.0,,1361792.0,19350432.0,
September 2014,252924.0,,1013469.0,20340182.0,
December 2014,248565.0,,821605.0,4822738.0,
March 2015,109015.0,,-106941.0,4677454.0,
June 2015,127669.0,,-125672.0,4485717.0,
September 2015,133117.0,,-131148.0,4169216.0,
December 2015,98535.0,,-97141.0,1003415.0,
March 2016,107382.0,83637.0,-107167.0,912792.0,
June 2016,106522.0,83637.0,-106307.0,805935.0,
September 2016,94548.0,83578.0,-94343.0,726725.0,
December 2016,135516.0,112732.0,485832.0,633168.0,319332.0
March 2017,73977.0,88219.0,-73807.0,547286.0,
June 2017,48392.0,251350.0,-48250.0,451170.0,
September 2017,774366.0,156348.0,-412626.0,893067.0,790302.0
December 2017,705966.0,692577.0,-196397.0,855413.0,736634.0
March 2018,421842.0,421842.0,19743.0,1222865.0,889464.0
June 2018,593140.0,593140.0,-148115.0,1653907.0,1141863.0
September 2018,667277.0,667277.0,-279694.0,2365163.0,1162322.0
December 2018,813301.0,752560.0,-735312.0,3526447.0,985400.0
March 2019,838624.0,838624.0,-710262.0,4100468.0,1250024.0
June 2019,824814.0,824814.0,-980910.0,8009002.0,2667600.0
September 2019,815871.0,815871.0,-606175.0,7464347.0,2296792.0
December 2019,1499660.0,731166.0,-1687011.0,6431384.0,1704262.0
March 2020,2497904.0,2497904.0,-2979231.0,37885910.0,12156936.0
June 2020,1271366.0,1271366.0,-3258985.0,32717859.0,8680303.0
September 2020,1355523.0,1000032.0,-4396056.0,32130051.0,8467000.0
December 2020,2712893.0,497884.0,-5234718.0,27425148.0,7747838.0
March 2021,1512400.0,1512400.0,-3865023.0,27242213.0,8888887.0
June 2021,1617201.0,1617201.0,-319624.0,30379183.0,12129250.0
September 2021,1455253.0,1455253.0,-3612038.0,31326756.0,15221034.0
December 2021,3792828.0,3790828.0,-3345295.0,29225656.0,14999207.0
March 2022,2463881.0,2463881.0,-3631130.0,32030438.0,18183369.0
June 2022,2287965.0,2287965.0,-3020276.0,26446307.0,16841460.0
