,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,19641.5,-849723.0,,
June 2010,19641.5,-849723.0,,
September 2010,36169.0,-943363.0,,
December 2010,360556.0,-2780352.0,6405767.0,5267254.0
March 2011,105591.0,-2291274.0,,
June 2011,101117.0,-1677790.0,,
September 2011,229709.0,-3113170.0,14441458.0,13070830.0
December 2011,260938.0,-2136986.0,12495042.0,10882475.0
March 2012,296131.0,-2109325.0,10477092.0,8804523.0
June 2012,367363.0,-1029719.0,9837655.0,8209486.0
September 2012,390395.0,-2236809.0,9693771.0,8183148.0
December 2012,373322.0,-4042105.0,20230563.0,18295855.0
March 2013,406943.0,-3437508.0,17851957.0,15941871.0
June 2013,498318.0,-3457799.0,15672745.0,13811312.0
September 2013,593643.0,-3552781.0,29764006.0,27964165.0
December 2013,626572.0,-4108797.0,27684270.0,25658606.0
March 2014,812615.0,-4239564.0,24567875.0,22434498.0
June 2014,555758.0,-3741471.0,22398729.0,20252702.0
September 2014,681230.0,-3238174.0,20097174.0,17992687.0
December 2014,983722.0,-6491267.0,16400789.0,14411088.0
March 2015,671036.0,-3575201.0,28135926.0,26015159.0
June 2015,736399.0,-3190873.0,25423153.0,23242020.0
September 2015,936015.0,-2978858.0,40912952.0,38570255.0
December 2015,893721.0,-3611493.0,37546053.0,35051374.0
March 2016,978340.0,-3676091.0,33496735.0,31454312.0
June 2016,936823.0,-2802696.0,31750737.0,29747157.0
September 2016,1118358.0,-2305373.0,30772765.0,28664531.0
December 2016,1178502.0,-5626984.0,46360478.0,44037252.0
March 2017,1411136.0,-3762025.0,43272824.0,40897857.0
June 2017,1521123.0,-2060179.0,42765705.0,40181854.0
September 2017,1795292.0,-2124000.0,42227825.0,39512512.0
December 2017,1971449.0,-2499179.0,58875000.0,55741000.0
March 2018,2058442.0,-5638557.0,55170572.0,51734903.0
June 2018,2601237.0,-7428000.0,160543734.0,156910450.0
September 2018,3306856.0,-4101628.0,161657736.0,152786342.0
December 2018,3806465.0,-5224000.0,160173000.0,150953000.0
March 2019,4139000.0,-9504000.0,160492000.0,145629000.0
June 2019,4282000.0,-7023000.0,156603000.0,141292000.0
September 2019,4181000.0,-5571000.0,154192000.0,137343000.0
December 2019,4912000.0,-7038000.0,154643000.0,135021000.0
March 2020,4614000.0,-8192000.0,144883000.0,120352000.0
June 2020,4071000.0,-8105000.0,169961000.0,140229000.0
September 2020,4230000.0,-1479000.0,193937000.0,139973000.0
December 2020,4931000.0,-6010000.0,201381000.0,145251000.0
March 2021,5748000.0,-6660000.0,197369000.0,135145000.0
June 2021,5723000.0,-7898000.0,210532000.0,141795000.0
September 2021,6404000.0,-7141000.0,209971000.0,134968000.0
December 2021,6302000.0,-5286000.0,208024000.0,127049000.0
March 2022,6275000.0,-11475000.0,198025000.0,112475000.0
June 2022,7022000.0,-7740000.0,196084000.0,106775000.0
