,OperatingExpenses,Assets,AssetsCurrent
March 2008,676297500.0,,
June 2008,676297500.0,,
September 2008,676297500.0,,
December 2008,676297500.0,,
March 2009,784852000.0,,
June 2009,569099000.0,,
September 2009,575900000.0,,
December 2009,605804000.0,7976929000.0,1191227000.0
March 2010,648358000.0,,
June 2010,534020000.0,7810839000.0,897923000.0
September 2010,614919000.0,7854258000.0,952672000.0
December 2010,584354000.0,7933925000.0,973873000.0
March 2011,668756000.0,7839428000.0,891147000.0
June 2011,528953000.0,7672419000.0,715552000.0
September 2011,623333000.0,7708125000.0,725235000.0
December 2011,562101000.0,8065354000.0,765140000.0
