,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,356162.0,39440.0,74205.0,,,
June 2010,339508.0,79831.0,33220.0,,,
September 2010,,,,,,
December 2010,,,,13094129.0,10844975.0,2249154.0
March 2011,890852.0,56605.0,-704709.0,,,
June 2011,424062.0,65741.0,-264133.0,19588093.0,16228579.0,3359514.0
