,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,92336.0,,-975101.5,,
June 2010,171472.0,,-975101.5,,
September 2010,2795099.0,,-975101.5,,
December 2010,742167.0,,-975101.5,430383.0,184522.0
March 2011,661009.0,,-2428092.5,,
June 2011,1213093.0,,-2428092.5,962670.0,697631.0
September 2011,1183311.0,,1397224.0,1089787.0,669686.0
December 2011,3286518.0,,-2945667.0,1790012.0,510433.0
March 2012,914389.0,,-316093.0,2579419.0,747503.0
June 2012,699381.0,,-534413.0,2570215.0,673114.0
September 2012,1890177.0,,-2495409.0,28952939.0,8249723.0
December 2012,4434398.0,,2116268.0,41866243.0,9666325.0
March 2013,2663000.0,1969000.0,-459000.0,43043459.0,11608425.0
June 2013,3354000.0,1969000.0,-1051000.0,56097197.0,16033109.0
September 2013,3437158.0,1969000.0,1466000.0,58483671.0,18652233.0
December 2013,11014110.0,1969000.0,-24310104.0,60690000.0,28308000.0
March 2014,6665000.0,2587000.0,6655000.0,79894000.0,18047000.0
June 2014,8003000.0,3045000.0,-9965000.0,84794000.0,22413000.0
September 2014,13026000.0,2625000.0,-8642000.0,79451000.0,20836000.0
December 2014,8865000.0,3640000.0,-6843000.0,121639000.0,27670000.0
March 2015,8673000.0,2878000.0,,113713000.0,21106000.0
June 2015,13479000.0,2495000.0,,116029000.0,24632000.0
September 2015,6512000.0,3202000.0,,116046000.0,26211000.0
December 2015,17526000.0,1835000.0,,92231000.0,28553000.0
March 2016,8012000.0,3294000.0,,88653000.0,32609000.0
June 2016,9537000.0,4776000.0,,83608000.0,26988000.0
September 2016,9410000.0,3757000.0,,70417000.0,27659000.0
December 2016,-334000.0,-384000.0,,54569000.0,18389000.0
March 2017,3887000.0,2027000.0,-13090000.0,43811000.0,15311000.0
June 2017,5533000.0,2157000.0,-13090000.0,35209000.0,16100000.0
September 2017,4287000.0,750000.0,-5498000.0,33986000.0,16130000.0
December 2017,9744000.0,2032000.0,,16456000.0,13297000.0
March 2018,1623000.0,835000.0,-4000.0,12786000.0,10593000.0
June 2018,1495000.0,590000.0,-4000.0,10185000.0,8002000.0
September 2018,2225000.0,677000.0,1515000.0,9928000.0,8677000.0
