,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2016,,525.0,-525.0,,
September 2016,,100.0,-100.0,,
December 2016,,75.0,-75.0,199775.0,199775.0
March 2017,,25.0,-25.0,,
June 2017,,57.0,-57.0,199693.0,
September 2017,,8645443.0,2253201.0,45890760.0,705298.0
December 2017,,24279352.0,7392952.0,80657900.0,49888271.0
March 2018,,132259.0,-19171.0,45922722.0,504467.0
June 2018,,92781.0,47482.0,45981086.0,45981086.0
September 2018,,10385563.0,1770678.0,83759916.0,52769706.0
December 2018,,30428835.0,4487466.0,82476407.0,59042764.0
March 2019,,10365172.0,1672813.0,87681108.0,51842793.0
June 2019,,11094041.0,1022895.0,92848958.0,54355010.0
September 2019,,9969785.0,1347565.0,83106834.0,55712116.0
December 2019,,23502159.0,1346404.0,802843794.0,151419617.0
March 2020,196345284.0,29406593.0,-339883942.0,521412406.0,125329973.0
June 2020,196345284.0,25092568.0,-4058903.0,496277683.0,103455980.0
September 2020,25050419.0,25050419.0,-623804.0,489889014.0,101268777.0
December 2020,,26576812.0,1592590.0,484227605.0,99045645.0
March 2021,29015627.0,28127495.0,1522932.0,494894924.0,103940774.0
June 2021,29015627.0,29903759.0,3596596.0,501337099.0,113536879.0
September 2021,30972019.0,30972019.0,7851767.0,514503271.0,130480950.0
