,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2011,164707750.0,,,
June 2011,164707750.0,,,
September 2011,164707750.0,,,
December 2011,164707750.0,,,
March 2012,188143000.0,0.0,,
June 2012,170702000.0,0.0,,
September 2012,179035000.0,0.0,,
December 2012,200944000.0,1956000.0,4253702000.0,2307904000.0
March 2013,206015000.0,11406000.0,4509073000.0,2551677000.0
June 2013,202583000.0,16826000.0,4325903000.0,2248973000.0
September 2013,192647000.0,-19848000.0,4329341000.0,2191345000.0
December 2013,211407000.0,31156000.0,4413808000.0,2200506000.0
March 2014,268899000.0,77444000.0,4716419000.0,2365822000.0
June 2014,210722000.0,20959000.0,5681840000.0,2843936000.0
September 2014,202625000.0,140970000.0,5877118000.0,3005563000.0
December 2014,200894000.0,-277611000.0,5164008000.0,2346671000.0
March 2015,237118000.0,87321000.0,5150612000.0,2295131000.0
June 2015,194970000.0,135810000.0,5543622000.0,2685572000.0
September 2015,203860000.0,42799000.0,5107176000.0,2303575000.0
December 2015,268577000.0,-119529000.0,6105124000.0,3022011000.0
March 2016,299999000.0,-29388000.0,6183659000.0,3021357000.0
June 2016,276598000.0,103530000.0,6988050000.0,3931973000.0
September 2016,412699000.0,42111000.0,7465714000.0,3547015000.0
December 2016,433455000.0,54558000.0,7621927000.0,3407255000.0
March 2017,451266000.0,-31077000.0,7512237000.0,3125291000.0
June 2017,412859000.0,-109663000.0,7481220000.0,2733099000.0
September 2017,402910000.0,314365000.0,7999457000.0,3445873000.0
December 2017,417365000.0,241892000.0,8117993000.0,3802959000.0
March 2018,426100000.0,30366000.0,8282363000.0,3861735000.0
June 2018,417700000.0,272100000.0,8546715000.0,4107830000.0
September 2018,424331000.0,179538000.0,9215410000.0,4749606000.0
December 2018,452869000.0,-353800000.0,8005400000.0,3236900000.0
March 2019,479000000.0,229200000.0,9126100000.0,3979300000.0
June 2019,433200000.0,-32200000.0,8809700000.0,3599000000.0
September 2019,436500000.0,69500000.0,8917400000.0,3602900000.0
December 2019,433600000.0,53000000.0,9132400000.0,3823700000.0
March 2020,,-1065900000.0,9134100000.0,2309700000.0
June 2020,,389100000.0,10073300000.0,3387100000.0
September 2020,,-417200000.0,10191300000.0,3312600000.0
December 2020,,-298400000.0,10499800000.0,3867400000.0
March 2021,,-41300000.0,11270100000.0,4854800000.0
June 2021,,47900000.0,11654200000.0,5266500000.0
September 2021,,59100000.0,11844200000.0,5486500000.0
December 2021,,165300000.0,11641400000.0,5199200000.0
March 2022,,-21100000.0,12948300000.0,6379600000.0
June 2022,,1203700000.0,13975700000.0,7332300000.0
