,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2014,29639.0,29639.0,-29639.0,,
September 2014,-880.0,-880.0,-880.0,,
December 2014,877.0,877.0,883.0,,
March 2015,5342.0,5342.0,-5342.0,1500.0,1500.0
June 2015,22556.0,22556.0,-22556.0,2221.0,
September 2015,32791.0,32791.0,-36820.0,49314.0,
December 2015,127036.0,127036.0,-178466.0,45517.0,26917.0
March 2016,382005.0,382005.0,-356928.0,27800.0,9200.0
June 2016,623097.0,623097.0,-843129.0,40720.0,22120.0
September 2016,33922.0,33922.0,-542255.0,59417.0,40817.0
December 2016,-287734.0,-287734.0,12500876.0,136700.0,118100.0
March 2017,1074984.0,1074984.0,-14594366.0,12591034.0,12567434.0
June 2017,23411.0,23411.0,585095.0,598832.0,296207.0
September 2017,8231.0,8231.0,-1409199.0,1035798.0,626673.0
