,OperatingExpenses,Assets,AssetsCurrent
March 2010,165842.5,,
June 2010,165842.5,,
September 2010,181159.0,,
December 2010,175425.0,18632409.0,515814.0
March 2011,167558.0,,
June 2011,168180.0,,
September 2011,167268.0,18344730.0,591267.0
December 2011,161348.0,18511266.0,1336610.0
March 2012,166502.0,19014746.0,2831392.0
June 2012,204165.0,18980580.0,2260805.0
September 2012,209070.0,18925421.0,1767224.0
December 2012,515447.0,18337333.0,1836697.0
March 2013,168997.0,17920136.0,1566495.0
June 2013,209608.0,17742689.0,694349.0
September 2013,176729.0,17761473.0,997631.0
December 2013,453099.0,17878981.0,2294263.0
March 2014,180565.0,17719913.0,
June 2014,449104.0,17603305.0,
September 2014,242901.0,17470732.0,
December 2014,204406.0,17194455.0,1336670.0
March 2015,207533.0,17074115.0,1744485.0
June 2015,207896.0,16898521.0,1721822.0
September 2015,199006.0,16683782.0,1660014.0
December 2015,248147.0,16327989.0,1457150.0
March 2016,199098.0,16218034.0,1500126.0
June 2016,201948.0,15965175.0,1400198.0
September 2016,189794.0,15800952.0,1388906.0
December 2016,181835.0,15579351.0,1320236.0
March 2017,200543.0,15508459.0,
June 2017,180865.0,15275383.0,
September 2017,174160.0,15101382.0,
December 2017,178744.0,14846210.0,
March 2018,183745.0,14822827.0,
June 2018,182219.0,14606497.0,
September 2018,170338.0,14397401.0,
December 2018,1252702.0,13153423.0,1162378.0
March 2019,990039.0,12167539.0,
June 2019,478592.0,11694291.0,
September 2019,534842.0,12891152.0,5673631.0
December 2019,111016.0,13456052.0,
March 2020,96026.0,5920900.0,
June 2020,78209.0,5785606.0,
September 2020,82385.0,5620017.0,
December 2020,128530.0,5976839.0,
March 2021,72378.0,5850111.0,
June 2021,65479.0,4785544.0,
September 2021,58303.0,4654082.0,
December 2021,59926.0,3475703.0,
March 2022,81457.0,3702894.0,
June 2022,53922.0,3519730.0,
