,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2007,,143532.75,,,
December 2007,,143532.75,,,
March 2008,49918.09090909091,143532.75,,,
June 2008,49918.09090909091,143532.75,,,
September 2008,49918.09090909091,-62746.0,,,
December 2008,49918.09090909091,-62746.0,,,
March 2009,49918.09090909091,-62746.0,,,
June 2009,49918.09090909091,-62746.0,,,
September 2009,49918.09090909091,-28182.5,,,
December 2009,49918.09090909091,-28182.5,,,
March 2010,49918.09090909091,-28182.5,,,
June 2010,49918.09090909091,-28182.5,,,
September 2010,34040.0,-33979.0,,,
December 2010,20484.0,-20494.0,,,
March 2011,42251.0,-42246.0,,,
June 2011,49918.09090909091,-102543.0,16507.0,16507.0,
September 2011,173583.0,-188459.0,53348.0,53348.0,
December 2011,113311.0,-127836.0,3763.0,3763.0,
March 2012,31252.0,-347210.0,233015.0,233015.0,
June 2012,712713.0,-627926.0,1036058.0,688946.0,
September 2012,130856.0,-864460.0,,,
December 2012,124678.0,-124678.0,956635.0,410276.0,
March 2013,614711.0,-614711.0,352844.0,352844.0,
June 2013,34760.0,-34760.0,290278.0,290278.0,
September 2013,38405.0,-38405.0,253275.0,253275.0,
December 2013,38812.0,-38812.0,211432.0,211432.0,
March 2014,89134.0,-89134.0,182258.0,182258.0,
June 2014,28801.0,-28801.0,153457.0,5912.0,
September 2014,3217.0,-30763.0,122694.0,122694.0,
December 2014,22898.0,-22898.0,99796.0,99796.0,
March 2015,6462.0,-6462.0,107290.0,107290.0,
June 2015,15938.0,11623.0,64638.0,64638.0,
September 2015,12592.0,-12582.0,52056.0,52056.0,
December 2015,24197.0,-24193.0,27863.0,27863.0,
March 2016,22966.0,-22964.0,14094.0,14094.0,
June 2016,18763.0,-18763.0,1619.0,1619.0,
September 2016,15431.0,-23848.0,76076.0,76076.0,
December 2016,15431.0,-50346.0,68712.0,68712.0,
March 2017,6637.0,-28303.0,66037.0,66037.0,
June 2017,1743.0,-1743.0,65308.0,65308.0,
September 2017,54639.5,-33847.0,125120.0,125120.0,
December 2017,54639.5,-281985.0,2209405.0,124990.0,
March 2018,130409.0,-173924.0,2417421.0,291230.0,2126191.0
June 2018,441964.0,-216186.0,2337805.0,93064.0,
September 2018,69078.0,-82137.0,2325851.0,81110.0,
December 2018,2280538.0,-2318924.0,80117.0,5500.0,
March 2019,12478.0,-50838.0,75096.0,479.0,
June 2019,10666.0,-48026.0,81832.0,7215.0,
September 2019,26520.0,-20243.0,85359.0,10742.0,
December 2019,61742.0,-79451.0,76306.0,1689.0,
March 2020,29687.0,265859.0,3754.0,3754.0,
June 2020,31310.0,-35228.0,21473.0,21473.0,
September 2020,48096.0,-53955.0,4208.0,,
December 2020,24282.0,199490.0,60328.0,,
March 2021,191149.0,-200537.0,544861.0,52825.0,
June 2021,213212.0,-435397.0,518250.0,16414.0,
September 2021,297978.0,-359814.0,934914.0,162930.0,
December 2021,337575.0,-149424.0,865653.0,147458.0,
March 2022,353639.0,-416787.0,681356.0,3897.0,
