,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2008,53032250.0,,25168500.0,,
June 2008,53032250.0,,25168500.0,,
September 2008,53032250.0,,25168500.0,,
December 2008,53032250.0,,25168500.0,,
March 2009,49511000.0,,23442000.0,,
June 2009,52055000.0,,26187000.0,,
September 2009,54496000.0,,28592000.0,,
December 2009,57180000.0,,30627000.0,742838000.0,523998000.0
March 2010,57925000.0,,28003000.0,,
June 2010,60246000.0,,29737000.0,720498000.0,488311000.0
September 2010,59325000.0,,28556000.0,710140000.0,488211000.0
December 2010,60077000.0,,27456000.0,727658000.0,493929000.0
March 2011,67219000.0,33988250.0,31860000.0,733510000.0,471214000.0
June 2011,60228000.0,33988250.0,26055000.0,744257000.0,486808000.0
September 2011,58969000.0,33988250.0,27254000.0,677345000.0,426768000.0
December 2011,61956000.0,33988250.0,27250000.0,705991000.0,453049000.0
March 2012,58332000.0,32930000.0,25402000.0,732810000.0,481525000.0
June 2012,66423000.0,34245000.0,32178000.0,721274000.0,474865000.0
September 2012,59263000.0,34768000.0,24495000.0,855043000.0,444955000.0
December 2012,68324000.0,36009000.0,32315000.0,871966000.0,467682000.0
March 2013,66735000.0,37582000.0,29153000.0,896633000.0,502711000.0
June 2013,69744000.0,37387000.0,32357000.0,913021000.0,526928000.0
September 2013,77671000.0,40662000.0,37009000.0,999727000.0,452165000.0
December 2013,74444000.0,42168000.0,32276000.0,991150000.0,459317000.0
March 2014,77096000.0,42485000.0,34611000.0,1010053000.0,487511000.0
June 2014,77861000.0,41844000.0,36017000.0,1024465000.0,508977000.0
September 2014,86507000.0,42517000.0,43990000.0,1014917000.0,504868000.0
December 2014,85666000.0,46139000.0,39527000.0,1042561000.0,528537000.0
March 2015,89157000.0,46857000.0,42300000.0,1021226000.0,457811000.0
June 2015,88425000.0,47465000.0,40960000.0,1035931000.0,481596000.0
September 2015,82212000.0,46483000.0,35729000.0,978051000.0,429355000.0
December 2015,88742000.0,47245000.0,41497000.0,1011463000.0,423140000.0
March 2016,88683000.0,49046000.0,39637000.0,998282000.0,421250000.0
June 2016,90680000.0,51635000.0,39045000.0,992588000.0,425364000.0
September 2016,86471000.0,48437000.0,38034000.0,1030216000.0,468395000.0
December 2016,89393000.0,50626000.0,38767000.0,1081844000.0,490851000.0
March 2017,92479000.0,52324000.0,40155000.0,1399426000.0,813246000.0
June 2017,92258000.0,52432000.0,39826000.0,1434327000.0,851506000.0
September 2017,91606000.0,52000000.0,39606000.0,1477786000.0,905501000.0
December 2017,92874000.0,52735000.0,40139000.0,1535082000.0,947642000.0
March 2018,100522000.0,54828000.0,45694000.0,1565995000.0,976321000.0
June 2018,113291000.0,59495000.0,53796000.0,1592611000.0,775915000.0
September 2018,110497000.0,61091000.0,49406000.0,1604289000.0,801051000.0
December 2018,111881000.0,62933000.0,48948000.0,1624354000.0,826638000.0
March 2019,110782000.0,61566000.0,49216000.0,1621927000.0,814488000.0
June 2019,112493000.0,63856000.0,48637000.0,1602940000.0,847642000.0
September 2019,110270000.0,62552000.0,47718000.0,1637178000.0,895166000.0
December 2019,35312000.0,17716000.0,17596000.0,1674853000.0,943859000.0
March 2020,125219000.0,71223000.0,53996000.0,1971082000.0,1248037000.0
June 2020,119242000.0,70838000.0,48404000.0,1923707000.0,917437000.0
September 2020,120452000.0,58929000.0,48483000.0,1943075000.0,937649000.0
December 2020,37020000.0,86897000.0,15865000.0,1993487000.0,975821000.0
March 2021,128424000.0,76474000.0,51950000.0,1870623000.0,860931000.0
June 2021,107785000.0,64832000.0,42953000.0,1896002000.0,1161003000.0
September 2021,118784000.0,72656000.0,46128000.0,3639502000.0,2920153000.0
December 2021,103237000.0,59246000.0,43991000.0,2958295000.0,2238573000.0
March 2022,122189000.0,77542000.0,44647000.0,2843762000.0,2123398000.0
June 2022,132524000.0,83511000.0,49013000.0,2419398000.0,1709965000.0
