,OperatingExpenses,NetIncomeLoss,Assets
September 2010,,0.0,
December 2010,,0.0,200000.0
March 2011,129500.0,0.0,
June 2011,129500.0,0.0,
September 2011,129500.0,0.0,
December 2011,129500.0,-416896.0,33429084.0
March 2012,410988.0,46885.0,32515327.0
June 2012,466689.0,-6000.0,32511589.0
September 2012,491453.0,-35197.0,32906914.0
December 2012,583419.0,-86000.0,35209238.0
March 2013,622000.0,-22000.0,43560140.0
June 2013,919000.0,-97078.0,58787005.0
September 2013,1513844.0,-389000.0,86226325.0
December 2013,1624156.0,-26000.0,109883000.0
March 2014,1614000.0,281000.0,119010000.0
June 2014,2030000.0,115000.0,155672000.0
September 2014,2820000.0,-81000.0,231478000.0
December 2014,4039000.0,-64000.0,233936000.0
March 2015,2815000.0,1126000.0,234912000.0
June 2015,3041000.0,5320000.0,233801000.0
September 2015,3429000.0,1128000.0,236509000.0
December 2015,4159000.0,-247000.0,281502000.0
March 2016,4744000.0,-17000.0,296445000.0
June 2016,5369000.0,-280000.0,334712000.0
September 2016,5933000.0,-370000.0,374251000.0
December 2016,7187000.0,-625000.0,453572000.0
March 2017,8076000.0,-86000.0,502383000.0
June 2017,8382000.0,515000.0,626240000.0
September 2017,9879000.0,68000.0,655654000.0
December 2017,11171000.0,-185000.0,699463000.0
March 2018,10867000.0,1152000.0,798394000.0
June 2018,12893000.0,1413000.0,863145000.0
September 2018,15047000.0,179000.0,887114000.0
December 2018,13423000.0,2414000.0,885857000.0
March 2019,14115000.0,1627000.0,887657000.0
June 2019,13841000.0,5445000.0,882802000.0
September 2019,13885000.0,7669000.0,896988000.0
December 2019,17056000.0,9000.0,869137000.0
March 2020,18528000.0,-3514000.0,899612000.0
June 2020,20788000.0,-11301000.0,914175000.0
September 2020,13102000.0,1721000.0,899675000.0
December 2020,12374000.0,2051000.0,866219000.0
March 2021,12183000.0,3518000.0,858374000.0
June 2021,13227000.0,1974000.0,834646000.0
September 2021,13875000.0,6239000.0,825006000.0
