,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2010,,1845693.0,,
June 2010,,1768716.0,,
September 2010,,1719496.0,,
December 2010,,2487495.0,,156990923.0
March 2011,,1950100.0,-511000.0,
June 2011,,1291405.0,2209000.0,136089767.0
September 2011,,2378712.0,-1913000.0,109145961.0
December 2011,,1996351.0,-2407000.0,109254296.0
March 2012,,1296163.0,838996.0,141483249.0
June 2012,,1141126.0,-191228.0,131520825.0
September 2012,,2334458.0,-762000.0,146218120.0
December 2012,,1304552.0,-1916000.0,187352951.0
March 2013,,4300681.0,-2770750.0,425107413.0
June 2013,,1287560.0,200940.0,411137987.0
September 2013,,1797188.0,1845270.0,438203076.0
December 2013,,1816917.0,-1605432.0,414527646.0
March 2014,,1356891.0,2369211.0,879689351.0
June 2014,,2253112.0,3329976.0,1010011256.0
September 2014,,2197175.0,346667.0,1605730487.0
December 2014,,1413469.0,1698990.0,146879198.0
March 2015,,4775091.0,-1388929.0,144901467.0
June 2015,,1534054.0,-1504479.0,138522752.0
September 2015,,1073959.0,-2646193.0,146502003.0
December 2015,,2272292.0,64770430.0,177055425.0
March 2016,1435750.0,1369945.0,,200166884.0
June 2016,1435750.0,1353853.0,,202091106.0
September 2016,1435750.0,1357168.0,,225529735.0
December 2016,1435750.0,1662698.0,,222870404.0
March 2017,1599000.0,1599543.0,,218022032.0
June 2017,1434000.0,1433405.0,,235479042.0
September 2017,1518000.0,1518441.0,,289829081.0
December 2017,1852000.0,1851396.0,,284588797.0
March 2018,1739000.0,1738978.0,,274969055.0
June 2018,1651000.0,1650738.0,,257080858.0
September 2018,1495000.0,1495907.0,,286542879.0
December 2018,1557000.0,1557210.0,,259399676.0
March 2019,1621000.0,1621026.0,,258792916.0
June 2019,1598000.0,1597963.0,,259761513.0
September 2019,1606000.0,1606384.0,,209979261.0
December 2019,1615000.0,1614336.0,,280203667.0
March 2020,1706000.0,1705957.0,,98110910.0
June 2020,1685000.0,1685088.0,,101306006.0
September 2020,1615000.0,1615748.0,,122163377.0
December 2020,1661000.0,1660108.0,,128700569.0
March 2021,1756000.0,1756583.0,,137233034.0
June 2021,-1724000.0,1724421.0,,134672248.0
September 2021,-1653000.0,1652562.0,,125733743.0
December 2021,9906000.0,3151796.0,,122084641.0
March 2022,2026000.0,2025479.0,,112010878.0
June 2022,-2112000.0,2112872.0,,93343495.0
