,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2010,8425.0,,8425.0,-8425.0,,30700.0,
March 2011,39501.0,,39501.0,-39501.0,,,
June 2011,21174.0,,21174.0,-21401.0,,6303.0,
September 2011,16331.0,,16331.0,-17529.0,,18547.0,
December 2011,11086.0,,11086.0,-11749.0,,2918.0,
March 2012,16044.0,0.0,16044.0,-16922.0,,1087.0,
June 2012,11352.0,0.0,11352.0,-12326.0,,113.0,
September 2012,8875.0,0.0,8875.0,-9839.0,,163.0,
December 2012,6747.0,0.0,6747.0,-6524.0,431.0,431.0,
March 2013,194392.0,0.0,194392.0,682533.0,,,
June 2013,419002.0,0.0,419002.0,-348134.0,,,
September 2013,791368.0,137496.0,653872.0,-810761.0,,,
December 2013,1486164.0,386980.0,,-1823834.0,14232028.0,8056342.0,6175686.0
March 2014,1075386.0,151021.0,924366.0,-118416.0,,,
June 2014,1663924.0,156501.0,1507423.0,8040430.0,23363228.0,17984146.0,
September 2014,1612704.0,262065.0,1350639.0,-482129.0,22329508.0,17136414.0,
December 2014,10004899.0,429693.0,,-8751836.0,21739908.0,16806268.0,4933640.0
March 2015,4316820.0,323145.0,3937151.0,-2648809.0,23441124.0,18709216.0,
June 2015,3354396.0,433544.0,2850053.0,-2003068.0,23066367.0,18573991.0,
September 2015,4229111.0,228822.0,3888898.0,-989549.0,24567032.0,20156558.0,
December 2015,7174274.0,334492.0,6701180.0,-6591702.0,27295169.0,16591742.0,10703427.0
March 2016,2831058.0,141813.0,2689244.0,-1533117.0,26741555.0,16301503.0,10440052.0
June 2016,3727273.0,341547.0,3385726.0,-2226902.0,26945272.0,16768260.0,10177012.0
September 2016,3468679.0,396238.0,3072441.0,-1900736.0,25774435.0,15843543.0,9930892.0
December 2016,10044234.0,279411.0,3982539.0,-8480543.0,18592162.0,4821110.0,13771052.0
March 2017,3865426.0,188716.0,3676710.0,-3784777.0,19173996.0,6180701.0,12993295.0
June 2017,5161075.333333333,205647.0,3525773.0,-992188.0,19253410.0,7254993.0,11998417.0
September 2017,5161075.333333333,179338.0,4311078.0,-589983.0,20410496.0,8135774.0,12274722.0
December 2017,5161075.333333333,150628.0,4679439.0,469809.0,22710205.0,7935000.0,14775034.0
March 2018,5907750.0,153704.0,4740593.0,619000.0,23054414.0,9541937.0,13512477.0
June 2018,5907750.0,442004.0,5320604.0,3185910.0,27030062.0,14258163.0,
September 2018,5907750.0,529562.0,5890332.0,3294973.0,31037379.0,21077663.0,
December 2018,5907750.0,759730.0,5794471.0,2901117.0,36902000.0,25466000.0,
March 2019,13082000.0,1342000.0,18595000.0,-9384000.0,48391000.0,33676000.0,
June 2019,13082000.0,1688000.0,9009000.0,1229000.0,52060000.0,37796000.0,
September 2019,13082000.0,1544000.0,8657000.0,-1769000.0,56538000.0,36274000.0,
December 2019,13082000.0,1303000.0,10190000.0,-6686000.0,52687000.0,32367000.0,
March 2020,8400250.0,1509000.0,7819000.0,-5152000.0,47522000.0,27191000.0,
June 2020,8400250.0,746000.0,6233000.0,-4681000.0,45695000.0,26449000.0,
September 2020,8400250.0,412000.0,5197000.0,-3157000.0,38405000.0,24205000.0,
December 2020,8400250.0,276000.0,11409000.0,-9294000.0,30625000.0,16863000.0,
March 2021,6765500.0,186000.0,5285000.0,-3127000.0,30678000.0,17525000.0,
June 2021,6765500.0,225000.0,5575000.0,-3530000.0,27810000.0,15027000.0,
September 2021,6765500.0,410000.0,4928000.0,-40000.0,23610000.0,14214000.0,
December 2021,6765500.0,364000.0,10089000.0,-8857000.0,18066000.0,14186000.0,
March 2022,,121000.0,2550000.0,-2217000.0,18266000.0,15054000.0,
June 2022,,102000.0,3483000.0,-2653000.0,15758000.0,12639000.0,
