,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,1462606000.0,800758000.0,661848000.0,-157326000.0,,,
June 2010,1471610000.0,791596000.0,680014000.0,621917000.0,,,
September 2010,2031954.0,1230100.0,801854.0,167976.0,,,
December 2010,-2930720925.0,-1590997792.0,-1339723133.0,-462245632.0,9086174000.0,7636734000.0,
March 2011,2065513.0,1290142.0,775371.0,-142297.0,,,
June 2011,1853131.0,1164872.0,688259.0,194839.0,8435062000.0,6914177000.0,
September 2011,2191532.0,1242295.0,949237.0,475605.0,10098680.0,8480195.0,
December 2011,2192240.0,1180810.0,1011430.0,5680644.0,15485744.0,8991582.0,
March 2012,2613099.0,1379131.0,1233968.0,433443.0,16359796.0,10032754.0,
June 2012,2058245.0,979044.0,1079201.0,308530.0,16715010.0,10483298.0,
September 2012,2214028.0,1005645.0,1208383.0,-292349.0,,,
December 2012,2452517.0,1122482.0,1330035.0,491657.0,17335150.0,11008750.0,
March 2013,2207339.0,1045259.0,1162080.0,317123.0,17473345.0,11233584.0,
June 2013,2660901.0,1500645.0,1160256.0,-240989.0,23541911.0,17118277.0,
September 2013,2982142.0,1602297.0,1379845.0,716671.0,24326409.0,18006816.0,
December 2013,3444950.0,1686048.0,1758902.0,-261987.0,24486592.0,18530501.0,
March 2014,2655350.0,1197622.0,1457728.0,-224739.0,23445096.0,17180249.0,
June 2014,3215416.0,1268653.0,1946763.0,-145981.0,24057060.0,17482085.0,
September 2014,2912863.0,972439.0,1940424.0,-270621.0,23928619.0,16999038.0,
December 2014,3580647.0,1393823.0,2186824.0,-495862.0,25010192.0,17658199.0,
March 2015,3562110.0,1584536.0,1977574.0,-646817.0,24072275.0,16202065.0,
June 2015,3917103.0,1757007.0,2160096.0,-664085.0,23522362.0,15734544.0,
September 2015,3489595.0,1570044.0,1919551.0,-437157.0,22808103.0,15165035.0,
December 2015,16840724.0,1466252.0,1605814.0,-648983.0,20816344.0,12634806.0,
March 2016,3633702.0,1634298.0,1999404.0,-303590.0,20172211.0,12047206.0,
June 2016,3966279.0,2367466.0,1598813.0,-8347482.0,12689279.0,10361581.0,
September 2016,4096170.0,2263719.0,1832451.0,-2138218.0,22684862.0,20585789.0,
December 2016,13744467.0,2162071.0,2164891.0,-2557757.0,20575236.0,18113526.0,
March 2017,7954124.0,2246572.0,2488337.0,-1615575.0,20887506.0,15928900.0,
June 2017,6295629.0,1982426.0,2109360.0,-2173093.0,19596276.0,14135049.0,
September 2017,4111096.0,1805738.0,2305358.0,-584661.0,19244704.0,13718598.0,
December 2017,12137128.0,2520645.0,2060308.0,-1998431.0,16616021.0,10853643.0,3853146.0
March 2018,8371450.0,1847102.0,2406569.0,-652343.0,28671754.0,22909361.0,3903261.0
June 2018,10474056.0,1991412.0,2547216.0,-1728375.0,29447631.0,23530481.0,3545641.0
September 2018,11706630.0,1897751.0,3034130.0,-2314181.0,27965877.0,22200773.0,3392208.0
December 2018,10839783.0,2789991.0,3112860.0,-3170750.0,40911183.0,28451754.0,
March 2019,11396652.0,2217632.0,4013071.0,-2816533.0,45596457.0,27186631.0,
