,Assets,AssetsCurrent
March 2011,,
June 2011,161730056.0,
September 2011,161979701.0,
December 2011,162471249.0,8270647.0
March 2012,157201483.0,
June 2012,158222315.0,
September 2012,158000533.0,
December 2012,108951448.0,10685560.0
March 2013,108045557.0,10817900.0
June 2013,106630079.0,10681268.0
September 2013,104654728.0,10746164.0
December 2013,100725430.0,9593622.0
March 2014,91986883.0,9343718.0
June 2014,93691516.0,9260486.0
September 2014,90606933.0,8128944.0
December 2014,88611426.0,8083625.0
March 2015,87815916.0,
June 2015,85503755.0,6985698.0
September 2015,84111938.0,
